kernel,stage,launches,time_ms,dram_read_bytes,dram_write_bytes,rw_ratio,achieved_gbps,bytes_per_launch,est_bytes_per_frame
gaussian_scaling_kernel,preprocess,15,0.2218,5.1271e+06,933344,5.49,27.32,404030,4.0403e+06
lk_track_kernel,tracking,4,0.2099,3.89357e+06,431904,9.01,20.61,1.08137e+06,2.15442e+06
gftt_values_kernel,feature_detect,1,0.0918,2.46931e+06,1.13661e+06,2.17,39.29,3.60592e+06,249641
cast_depth_kernel,preprocess,2,0.2072,1.27142e+06,2.24506e+06,0.57,16.97,1.75824e+06,1.75824e+06
sba::build_full_system_1_kernel,bundle_adjust,7,0.4365,2.67238e+06,732512,3.65,7.8,486414,166503
conv_grad_y_kernel,feature_detect,8,0.0952,1.72314e+06,1.25824e+06,1.37,31.33,372672,2.23603e+06
conv_grad_x_kernel,feature_detect,7,0.0878,1.70515e+06,1.18454e+06,1.44,32.9,412814,2.47688e+06
non_max_suppression_kernel,feature_detect,1,0.0566,1.23446e+06,1.03181e+06,1.2,40.03,2.26627e+06,156896
sba::reduced_system_stage_2_kernel,bundle_adjust,7,0.2597,2.10614e+06,89440,23.55,8.45,313655,137526
cast_image_kernel_rgb,preprocess,1,0.0551,929440,1.10198e+06,0.84,36.87,2.03142e+06,2.03142e+06
matcher::photometric_kernel,tracking,33,0.8115,1.76762e+06,4352,406.16,2.18,53696,882473
matcher::point_to_point_kernel,tracking,33,0.782,1.57814e+06,6272,251.62,2.03,48012.6,789069
sba::reduced_system_stage_12_kernel,bundle_adjust,7,0.0934,1.17098e+06,303552,3.86,15.78,210647,92360.5
downsample_gftt_x8_kernel,feature_detect,1,0.035,1.23587e+06,125472,9.85,38.92,1.36134e+06,94246.9
accumulateGFTT_kernel,feature_detect,1,0.0346,1.23533e+06,102080,12.1,38.66,1.33741e+06,92589.8
sba::reduced_system_stage_3_kernel,bundle_adjust,7,0.0458,1.08624e+06,9792,110.93,23.92,156576,68652.6
sba::build_full_system_2_kernel,bundle_adjust,7,0.0987,997632,12928,77.17,10.24,144366,49417.5
sba::calc_point_update_kernel_xavier_special,bundle_adjust,6,0.0445,934336,15328,60.96,21.34,158277,69398.5
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,6,0.0469,934784,8512,109.82,20.09,157216,68933.2
sba::calc_jacobians_kernel,bundle_adjust,7,0.0582,627616,193280,3.25,14.1,117271,40142.7
sba::evaluate_cost_kernel,bundle_adjust,7,0.0444,676480,3136,215.71,15.3,97088,48917.4
select_features_kernel,feature_detect,1,0.017,486336,104320,4.66,34.83,590656,40891.6
sba::reduced_system_stage_1_kernel,bundle_adjust,7,0.0928,276224,102144,2.7,4.08,54052.6,23700
sba::clear_full_system_stage_1_kernel,bundle_adjust,7,0.0655,31296,333696,0.09,5.57,52141.7,17848.5
sba::point_term_kernel,bundle_adjust,12,0.0426,353216,608,580.95,8.31,29485.3,25856.4
getrf_wo_pivot_params,ba_solver,6,0.0752,346752,832,416.77,4.62,57930.7,25400.4
trsv_lt_exec,ba_solver,6,0.0573,224704,640,351.1,3.93,37557.3,16467.4
sba::update_points_kernel,bundle_adjust,6,0.0167,162752,7488,21.74,10.17,28373.3,7857.23
trsv_ln_exec,ba_solver,6,0.0448,148352,320,463.6,3.32,24778.7,10864.5
cub::DeviceMergeSortMergeKernel,keypoint_sort,2,0.0101,138240,3744,36.92,14.09,70992,9829.66
sba::reduce_abs_max_kernel,bundle_adjust,12,0.0425,96640,1152,83.89,2.3,8149.33,7146.34
matcher::lift_kernel,tracking,1,0.0068,91456,2080,43.97,13.79,93536,6475.57
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,1,0.0106,70080,1152,60.83,6.75,71232,4931.45
sba::calc_pose_update_kernel,bundle_adjust,6,0.016,62336,320,194.8,3.91,10442.7,4578.71
sba::v1T_x_M_x_v2_kernel,bundle_adjust,6,0.0196,49408,0,inf,2.53,8234.67,3610.58
filter_maximums_kernel,feature_detect,1,0.0026,6272,42400,0.15,18.78,48672,3182.4
sba::pose_scaling_term_kernel,bundle_adjust,6,0.0175,34752,384,90.5,2.0,5856,2567.63
sba::update_poses_kernel,bundle_adjust,6,0.0115,30400,0,inf,2.65,5066.67,1403.08
sba::make_prediction,bundle_adjust,6,0.0107,20160,384,52.5,1.92,3424,1501.29
sba::clear_full_system_stage_2_kernel,bundle_adjust,7,0.0098,19040,0,inf,1.94,2720,931.077
xxtrf4_set_info_ker,ba_solver,7,0.0097,17504,64,273.5,1.81,2509.71,1100.41
copy_info_kernel,ba_solver,6,0.0082,15616,0,inf,1.9,2602.67,1141.17
dtrsv_init_up,ba_solver,6,0.0084,15424,64,241.0,1.85,2581.33,1131.82
cub::DeviceMergeSortPartitionKernel,keypoint_sort,2,0.0107,15232,0,inf,1.43,7616,1054.52
dtrsv_init,ba_solver,6,0.0083,14752,0,inf,1.78,2458.67,1078.03
