kernel,stage,persistence,pct_gpu_time,total_ms,instances,avg_us
matcher::photometric_kernel,tracking,streaming+hot,29.39,168.668,4273,39.5
matcher::point_to_point_kernel,tracking,streaming+hot,28.15,161.512,4273,37.8
cast_depth_kernel,preprocess,streaming,8.25,47.349,260,182.1
gaussian_scaling_kernel,preprocess,streaming,7.98,45.81,2600,17.6
lk_track_kernel,tracking,streaming+hot,7.9,45.325,518,87.5
conv_grad_y_kernel,feature_detect,streaming,4.32,24.781,1560,15.9
conv_grad_x_kernel,feature_detect,streaming,4.23,24.277,1560,15.6
cast_image_kernel_rgb,preprocess,streaming,3.98,22.858,260,87.9
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,0.83,4.775,114,41.9
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,0.82,4.711,89,52.9
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,0.43,2.488,114,21.8
gftt_values_kernel,feature_detect,streaming,0.33,1.903,18,105.7
getrf_wo_pivot_params,ba_solver,hot-persistent,0.32,1.809,114,15.9
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,0.27,1.557,114,13.7
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,0.24,1.358,89,15.3
trsv_lt_exec,ba_solver,hot-persistent,0.22,1.267,114,11.1
non_max_suppression_kernel,feature_detect,streaming,0.17,0.99,18,55.0
trsv_ln_exec,ba_solver,hot-persistent,0.16,0.928,114,8.1
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,0.16,0.914,114,8.0
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,0.16,0.906,131,6.9
sba::point_term_kernel,bundle_adjust,hot-persistent,0.15,0.888,228,3.9
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,0.15,0.887,89,10.0
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,0.15,0.862,89,9.7
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,0.14,0.827,228,3.6
downsample_gftt_x8_kernel,feature_detect,streaming,0.12,0.677,18,37.6
accumulateGFTT_kernel,feature_detect,streaming,0.12,0.676,18,37.5
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,0.1,0.596,114,5.2
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,0.1,0.562,114,4.9
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,0.08,0.437,114,3.8
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,0.07,0.392,114,3.4
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,0.06,0.37,114,3.2
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,0.05,0.294,18,16.4
select_features_kernel,feature_detect,streaming,0.05,0.278,18,15.5
sba::make_prediction,bundle_adjust,hot-persistent,0.04,0.22,114,1.9
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,0.03,0.198,36,5.5
sba::update_points_kernel,bundle_adjust,hot-persistent,0.03,0.173,72,2.4
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,0.03,0.172,36,4.8
xxtrf4_set_info_ker,ba_solver,hot-persistent,0.03,0.164,114,1.4
dtrsv_init_up,ba_solver,hot-persistent,0.03,0.164,114,1.4
copy_info_kernel,ba_solver,hot-persistent,0.03,0.163,114,1.4
dtrsv_init,ba_solver,hot-persistent,0.03,0.163,114,1.4
matcher::lift_kernel,tracking,streaming+hot,0.03,0.144,18,8.0
sba::update_poses_kernel,bundle_adjust,hot-persistent,0.02,0.133,72,1.9
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,0.02,0.124,89,1.4
filter_maximums_kernel,feature_detect,streaming,0.02,0.093,17,5.5
