kernel,stage,launches,time_ms,flops,dram_bytes,l1_bytes,l2_bytes,ai_dram,ai_l2,gflops,dram_gbps
matcher::photometric_kernel,tracking,33,0.8115,1.97743e+06,1.77197e+06,3.71286e+06,4.14269e+06,1.11595,0.47733,2.4367,2.18352
matcher::point_to_point_kernel,tracking,33,0.782,2.72219e+06,1.58442e+06,824480,3.85389e+06,1.7181,0.70635,3.48114,2.02615
sba::build_full_system_1_kernel,bundle_adjust,7,0.4365,2.394e+06,3.4049e+06,2.68914e+07,1.19346e+07,0.703105,0.200593,5.48439,7.80023
sba::reduced_system_stage_2_kernel,bundle_adjust,7,0.2597,1.78339e+07,2.19558e+06,4.8513e+07,3.3432e+07,8.12261,0.533437,68.6594,8.45288
gaussian_scaling_kernel,preprocess,15,0.2218,1.53447e+07,6.06045e+06,9.87666e+07,9.34054e+06,2.53195,1.64281,69.1752,27.321
lk_track_kernel,tracking,4,0.2099,3.32918e+07,4.32547e+06,4.38996e+07,8.42947e+06,7.69669,3.94946,158.617,20.6085
cast_depth_kernel,preprocess,2,0.2072,1.2288e+06,3.51648e+06,3.6864e+06,3.91286e+06,0.34944,0.314041,5.93142,16.9741
sba::build_full_system_2_kernel,bundle_adjust,7,0.0987,3.4592e+06,1.01056e+06,4.74163e+06,2.57859e+06,3.42306,1.34151,35.0519,10.2399
conv_grad_y_kernel,feature_detect,8,0.0952,5.83016e+06,2.98138e+06,5.84288e+06,3.83475e+06,1.95553,1.52035,61.2618,31.3275
sba::reduced_system_stage_12_kernel,bundle_adjust,7,0.0934,1.50293e+06,1.47453e+06,8.03302e+06,6.6761e+06,1.01926,0.225121,16.0844,15.7805
sba::reduced_system_stage_1_kernel,bundle_adjust,7,0.0928,6.95444e+06,378368,2.59118e+07,9.89907e+06,18.3801,0.702535,74.9143,4.07584
gftt_values_kernel,feature_detect,1,0.0918,3.96083e+07,3.60592e+06,1.51061e+07,6.97056e+06,10.9842,5.68223,431.576,39.2904
conv_grad_x_kernel,feature_detect,7,0.0878,6.19686e+06,2.8897e+06,6.0992e+06,3.65309e+06,2.14447,1.69634,70.5472,32.8973
getrf_wo_pivot_params,ba_solver,6,0.0752,447744,347584,23232,648640,1.28816,0.690281,5.95151,4.62016
sba::clear_full_system_stage_1_kernel,bundle_adjust,7,0.0655,0,364992,8.14464e+06,5.88454e+06,0,0,0,5.57478
sba::calc_jacobians_kernel,bundle_adjust,7,0.0582,3.8555e+06,820896,7.97674e+06,5.23082e+06,4.69669,0.737073,66.2001,14.0951
trsv_lt_exec,ba_solver,6,0.0573,12744,225344,14592,508512,0.0565535,0.0250614,0.222486,3.93408
non_max_suppression_kernel,feature_detect,1,0.0566,0,2.26627e+06,6.0119e+06,3.22326e+06,0,0,0,40.0345
cast_image_kernel_rgb,preprocess,1,0.0551,0,2.03142e+06,4.91507e+06,2.47283e+06,0,0,0,36.8653
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,6,0.0469,438354,943296,1.39904e+06,1.32381e+06,0.464705,0.331131,9.33781,20.0941
sba::reduced_system_stage_3_kernel,bundle_adjust,7,0.0458,743064,1.09603e+06,2.02138e+06,1.73834e+06,0.677958,0.427457,16.2156,23.9183
trsv_ln_exec,ba_solver,6,0.0448,8856,148672,14592,337824,0.0595674,0.0262148,0.197537,3.3162
sba::calc_point_update_kernel_xavier_special,bundle_adjust,6,0.0445,429408,949664,1.14883e+06,1.08285e+06,0.452168,0.396554,9.64702,21.335
sba::evaluate_cost_kernel,bundle_adjust,7,0.0444,1.39963e+06,679616,3.65267e+06,862368,2.05944,1.62301,31.5118,15.3012
sba::point_term_kernel,bundle_adjust,12,0.0426,118056,353824,1.36128e+06,469120,0.333657,0.251654,2.77387,8.31353
sba::reduce_abs_max_kernel,bundle_adjust,12,0.0425,0,97792,36864,192256,0,0,0,2.3012
downsample_gftt_x8_kernel,feature_detect,1,0.035,0,1.36134e+06,1.536e+06,1.4728e+06,0,0,0,38.9222
accumulateGFTT_kernel,feature_detect,1,0.0346,1.614e+06,1.33741e+06,2.496e+06,1.2935e+06,1.20681,1.24777,46.6582,38.6623
sba::v1T_x_M_x_v2_kernel,bundle_adjust,6,0.0196,214416,49408,36864,125792,4.3397,1.70453,10.9664,2.527
sba::pose_scaling_term_kernel,bundle_adjust,6,0.0175,8928,35136,5376,87136,0.254098,0.102461,0.509124,2.00365
select_features_kernel,feature_detect,1,0.017,54951,590656,862624,582272,0.0930338,0.0943734,3.24004,34.8264
sba::update_points_kernel,bundle_adjust,6,0.0167,8946,170240,680256,486240,0.0525493,0.0183983,0.534536,10.1721
sba::calc_pose_update_kernel,bundle_adjust,6,0.016,3456,62656,15744,144032,0.0551583,0.0239947,0.215569,3.90818
sba::update_poses_kernel,bundle_adjust,6,0.0115,2304,30400,33792,79840,0.0757895,0.0288577,0.200557,2.64624
sba::make_prediction,bundle_adjust,6,0.0107,90,20544,960,57856,0.00438084,0.00155559,0.00839552,1.91642
cub::DeviceMergeSortPartitionKernel,keypoint_sort,2,0.0107,0,15232,3296,44864,0,0,0,1.42515
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,1,0.0106,0,71232,305152,169152,0,0,0,6.74545
cub::DeviceMergeSortMergeKernel,keypoint_sort,2,0.0101,0,141984,622656,306304,0,0,0,14.0857
sba::clear_full_system_stage_2_kernel,bundle_adjust,7,0.0098,0,19040,672,66912,0,0,0,1.94444
xxtrf4_set_info_ker,ba_solver,7,0.0097,0,17568,224,53408,0,0,0,1.80592
dtrsv_init_up,ba_solver,6,0.0084,0,15488,384,48064,0,0,0,1.84733
