kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
matcher::photometric_kernel,tracking,underutilized,33,0.8115,4.59,0.89,4.59,85.85,58.26,15.84,22.27,0.0,0.656,1.335,0.0,0.002,0.273,0.035,0.544,2.378,0.055
matcher::point_to_point_kernel,tracking,underutilized,33,0.782,4.25,0.91,4.25,56.08,62.43,15.46,22.2,0.0,0.619,1.352,0.0,0.012,0.0,0.047,0.394,2.371,0.072
sba::build_full_system_1_kernel,bundle_adjust,memory-latency,7,0.4365,16.31,1.1,16.31,79.74,77.52,19.99,15.09,12.87,40.894,0.017,3.256,0.0,0.0,0.018,0.0,2.216,0.041
sba::reduced_system_stage_2_kernel,bundle_adjust,memory-bound,7,0.2597,59.62,27.84,17.88,31.54,94.7,82.2,3.95,0.99,13.532,0.863,0.003,0.045,0.0,0.373,0.877,2.704,0.634
gaussian_scaling_kernel,preprocess,memory-bound,15,0.2218,58.77,35.96,58.77,91.37,45.24,76.42,0.0,3.89,8.072,0.116,0.0,0.04,6.132,0.774,0.0,0.946,0.944
lk_track_kernel,tracking,memory-bound,4,0.2099,44.94,12.88,44.94,82.17,53.83,37.58,2.33,1.0,19.986,1.97,0.0,0.258,1.666,0.138,0.0,1.79,0.207
cast_depth_kernel,preprocess,compute-leaning,2,0.2072,35.51,84.87,35.51,2.14,66.99,81.97,2.0,4.01,70.429,0.753,0.0,0.021,34.362,0.049,0.0,3.293,0.501
sba::build_full_system_2_kernel,bundle_adjust,memory-latency,7,0.0987,21.38,7.86,21.38,55.75,61.52,22.66,6.25,0.0,5.55,0.176,0.019,1.318,0.0,0.146,0.577,1.594,0.247
conv_grad_y_kernel,feature_detect,memory-bound,8,0.0952,66.14,7.5,66.14,46.71,56.53,65.77,0.0,3.83,24.434,1.12,0.2,12.547,38.99,0.041,5.316,1.424,0.703
sba::reduced_system_stage_12_kernel,bundle_adjust,memory-bound,7,0.0934,43.89,14.47,34.32,33.84,82.23,86.13,3.37,10.21,10.994,1.539,0.001,0.2,0.0,0.047,32.666,2.946,0.288
sba::reduced_system_stage_1_kernel,bundle_adjust,memory-bound,7,0.0928,56.65,10.41,8.67,98.12,97.39,3.58,26.22,26.22,1.209,0.037,0.005,0.0,0.0,0.001,0.0,1.966,0.0
gftt_values_kernel,feature_detect,memory-bound,1,0.0918,83.68,26.45,83.68,54.91,64.35,92.54,0.0,4.0,20.85,0.974,0.0,2.275,0.161,0.769,3.518,1.644,1.174
