kernel,runs_seen,mean_time_ms,time_cov_pct,mean_share_pct,share_cov_pct,instances_cov_pct,mem_sol_cov_pct
matcher::photometric_kernel,3,0.9417,22.33,18.137,25.0,0.0,5.06
matcher::point_to_point_kernel,3,0.9198,22.2,17.743,26.02,0.0,9.18
sba::build_full_system_1_kernel,3,0.5372,75.27,8.769,35.65,40.75,16.68
sba::reduced_system_stage_2_kernel,3,0.3176,75.64,5.179,36.57,40.75,14.83
gaussian_scaling_kernel,3,0.2757,33.33,5.148,16.93,0.0,3.8
conv_grad_y_kernel,3,0.2721,111.91,3.972,68.87,0.0,0.82
conv_grad_x_kernel,3,0.2559,113.47,3.715,70.95,0.0,10.78
lk_track_kernel,3,0.2116,0.87,4.321,40.24,0.0,2.99
cast_depth_kernel,3,0.2092,0.88,4.269,40.04,0.0,1.91
cast_image_kernel_rgb,3,0.1964,124.88,2.733,86.93,0.0,37.38
sba::reduced_system_stage_12_kernel,3,0.13,85.63,2.05,43.45,40.75,10.25
sba::build_full_system_2_kernel,3,0.1212,75.94,1.974,36.7,40.75,17.99
sba::reduced_system_stage_1_kernel,3,0.1068,63.68,1.811,25.59,40.75,8.91
gftt_values_kernel,3,0.1015,15.55,1.99,29.52,0.0,13.68
sba::calc_jacobians_kernel,3,0.0929,69.9,1.554,20.47,40.75,6.49
getrf_wo_pivot_params,3,0.0868,63.14,1.475,24.7,34.64,4.98
sba::clear_full_system_stage_1_kernel,3,0.0741,35.66,1.369,11.74,40.75,5.15
sba::point_term_kernel,3,0.0616,96.04,0.937,57.17,49.49,14.88
trsv_lt_exec,3,0.0603,70.17,1.004,41.01,49.49,7.25
sba::calc_point_update_kernel_xavier_special,3,0.0577,88.12,0.901,50.78,49.49,16.43
non_max_suppression_kernel,3,0.0567,0.25,1.156,39.68,0.0,0.95
trsv_ln_exec,3,0.0564,68.08,0.942,24.67,34.64,13.33
sba::v1T_x_M_T_x_v2_kernel,3,0.0502,6.01,1.027,41.99,49.49,15.19
sba::evaluate_cost_kernel,3,0.0459,54.56,0.803,25.78,40.75,20.82
sba::reduced_system_stage_3_kernel,3,0.0385,42.31,0.714,38.79,40.75,5.21
downsample_gftt_x8_kernel,3,0.0349,0.24,0.713,40.01,0.0,0.9
accumulateGFTT_kernel,3,0.0349,0.78,0.712,40.09,0.0,0.8
sba::reduce_abs_max_kernel,3,0.0341,49.74,0.624,47.38,49.49,9.65
sba::pose_scaling_term_kernel,3,0.0285,100.71,0.427,60.02,49.49,25.67
matcher::lift_kernel,3,0.024,62.2,0.466,77.89,0.0,40.53
sba::v1T_x_M_x_v2_kernel,3,0.0232,81.13,0.372,46.07,49.49,17.81
sba::update_points_kernel,3,0.0231,68.44,0.386,20.42,49.49,12.69
select_features_kernel,3,0.0173,3.37,0.35,37.54,0.0,0.94
sba::calc_pose_update_kernel,3,0.0138,58.37,0.243,47.01,49.49,15.92
sba::make_prediction,3,0.0138,87.35,0.216,50.18,49.49,6.03
sba::clear_full_system_stage_2_kernel,3,0.0137,53.34,0.242,7.44,40.75,15.47
cub::DeviceMergeSortBlockSortKernel,3,0.0117,14.22,0.244,50.33,0.0,4.46
sba::update_poses_kernel,3,0.0116,65.53,0.196,39.45,49.49,18.12
cub::DeviceMergeSortPartitionKernel,3,0.0108,1.3,0.22,40.75,0.0,5.86
cub::DeviceMergeSortMergeKernel,3,0.0103,2.04,0.21,40.49,0.0,1.3
copy_info_kernel,3,0.0102,69.67,0.169,27.87,34.64,21.85
xxtrf4_set_info_ker,3,0.0099,58.45,0.171,31.43,40.75,11.92
dtrsv_init_up,3,0.0088,52.96,0.155,22.54,34.64,19.35
dtrsv_init,3,0.0071,35.6,0.135,34.17,34.64,9.42
filter_maximums_kernel,3,0.0027,5.52,0.055,43.74,0.0,2.86
