kernel,runs_seen,mean_time_ms,time_cov_pct,mean_share_pct,share_cov_pct,instances_cov_pct,mem_sol_cov_pct
matcher::photometric_kernel,5,373.9396,59.4,23.67,16.01,0.13,
matcher::point_to_point_kernel,5,357.2084,59.65,22.607,16.29,0.13,
gaussian_scaling_kernel,5,194.5914,56.35,11.643,20.01,0.0,
lk_track_kernel,5,140.4093,49.62,8.803,10.9,0.0,
conv_grad_y_kernel,5,134.5384,58.48,7.898,28.62,0.0,
conv_grad_x_kernel,5,129.0835,57.95,7.604,28.19,0.0,
cast_depth_kernel,5,108.3414,56.6,6.912,14.01,0.0,
cast_image_kernel_rgb,5,78.642,53.17,4.827,12.1,0.0,
sba::build_full_system_1_kernel,5,12.543,51.01,0.793,5.05,0.0,
gftt_values_kernel,5,10.8642,54.01,0.654,32.29,0.0,
sba::reduced_system_stage_2_kernel,5,9.2947,36.24,0.639,22.78,0.0,
sba::reduced_system_stage_1_kernel,5,5.7719,49.38,0.373,11.14,0.0,
non_max_suppression_kernel,5,5.7672,54.4,0.346,32.85,0.0,
getrf_wo_pivot_params,5,4.9676,45.23,0.32,12.39,0.0,
downsample_gftt_x8_kernel,5,4.4199,55.27,0.263,35.29,0.0,
accumulateGFTT_kernel,5,3.8342,54.13,0.231,32.19,0.0,
sba::reduced_system_stage_12_kernel,5,3.7723,40.69,0.25,16.4,0.0,
sba::build_full_system_2_kernel,5,3.1999,58.78,0.201,12.1,0.0,
trsv_lt_exec,5,3.1418,46.58,0.204,10.79,0.0,
sba::evaluate_cost_kernel,5,2.9698,47.09,0.188,16.79,0.0,
sba::v1T_x_M_T_x_v2_kernel,5,2.6026,40.7,0.172,21.76,0.0,
trsv_ln_exec,5,2.254,46.48,0.146,10.7,0.0,
sba::point_term_kernel,5,2.1754,48.69,0.14,9.82,0.0,
sba::calc_jacobians_kernel,5,1.8256,56.62,0.117,17.5,0.0,
sba::reduce_abs_max_kernel,5,1.8139,48.83,0.118,13.72,0.0,
sba::clear_full_system_stage_1_kernel,5,1.7141,42.05,0.116,21.01,0.0,
select_features_kernel,5,1.4313,52.84,0.087,29.89,0.0,
sba::calc_point_update_kernel_xavier_special,5,1.2747,42.66,0.084,15.24,0.0,
sba::reduced_system_stage_3_kernel,5,1.2713,44.1,0.084,16.3,0.0,
sba::v1T_x_M_x_v2_kernel,5,0.9848,48.08,0.064,12.72,0.0,
sba::calc_pose_update_kernel,5,0.931,44.37,0.061,13.24,0.0,
sba::pose_scaling_term_kernel,5,0.8084,49.68,0.053,14.13,0.0,
cub::DeviceMergeSortBlockSortKernel,5,0.6907,51.34,0.044,9.89,0.0,
sba::make_prediction,5,0.4705,45.02,0.031,16.46,0.0,
filter_maximums_kernel,5,0.4319,50.74,0.027,30.09,0.0,
cub::DeviceMergeSortMergeKernel,5,0.4252,51.33,0.028,15.12,0.0,
matcher::lift_kernel,5,0.4207,47.36,0.027,11.2,0.0,
sba::update_points_kernel,5,0.3937,60.49,0.025,15.17,0.0,
cub::DeviceMergeSortPartitionKernel,5,0.3684,47.06,0.024,14.65,0.0,
dtrsv_init,5,0.3384,47.18,0.022,17.17,0.0,
copy_info_kernel,5,0.3378,47.26,0.022,17.17,0.0,
xxtrf4_set_info_ker,5,0.3377,47.63,0.022,17.31,0.0,
dtrsv_init_up,5,0.3375,47.6,0.022,17.2,0.0,
sba::update_poses_kernel,5,0.2898,58.82,0.018,16.86,0.0,
sba::clear_full_system_stage_2_kernel,5,0.2644,56.2,0.017,16.84,0.0,
