kernel,runs_seen,mean_time_ms,time_cov_pct,mean_share_pct,share_cov_pct,instances_cov_pct,mem_sol_cov_pct
matcher::photometric_kernel,5,375.736,11.88,21.12,8.1,0.1,
matcher::point_to_point_kernel,5,358.0158,12.1,20.123,8.37,0.1,
gaussian_scaling_kernel,5,235.9296,10.56,13.276,7.51,0.0,
conv_grad_y_kernel,5,167.2044,12.68,9.407,9.84,0.0,
lk_track_kernel,5,165.4588,9.35,9.316,6.83,0.0,
conv_grad_x_kernel,5,161.3436,12.65,9.079,10.01,0.0,
cast_depth_kernel,5,116.7139,8.57,6.568,5.12,0.0,
cast_image_kernel_rgb,5,93.5685,9.61,5.262,5.0,0.0,
sba::build_full_system_1_kernel,5,13.5966,9.63,0.764,5.27,0.0,
gftt_values_kernel,5,13.2712,11.78,0.746,8.45,0.0,
sba::reduced_system_stage_2_kernel,5,9.4038,7.22,0.53,5.84,0.0,
non_max_suppression_kernel,5,7.0911,11.14,0.399,8.37,0.0,
sba::reduced_system_stage_1_kernel,5,5.6719,10.25,0.319,7.11,0.0,
getrf_wo_pivot_params,5,5.5578,7.22,0.313,3.25,0.0,
downsample_gftt_x8_kernel,5,5.4292,12.23,0.305,9.14,0.0,
accumulateGFTT_kernel,5,4.7196,10.83,0.266,8.11,0.0,
sba::reduced_system_stage_12_kernel,5,4.0815,8.28,0.23,5.06,0.0,
sba::evaluate_cost_kernel,5,3.3378,9.45,0.188,4.77,0.0,
trsv_lt_exec,5,3.2307,9.8,0.182,5.86,0.0,
sba::build_full_system_2_kernel,5,3.2054,12.31,0.18,8.41,0.0,
sba::v1T_x_M_T_x_v2_kernel,5,2.9179,9.64,0.164,5.29,0.0,
trsv_ln_exec,5,2.3345,9.07,0.131,5.37,0.0,
sba::point_term_kernel,5,2.2426,9.51,0.126,5.69,0.0,
sba::calc_jacobians_kernel,5,1.8617,9.26,0.105,6.28,0.0,
sba::reduce_abs_max_kernel,5,1.8183,8.88,0.102,6.04,0.0,
sba::clear_full_system_stage_1_kernel,5,1.7855,6.59,0.101,4.81,0.0,
select_features_kernel,5,1.7502,10.29,0.098,7.46,0.0,
sba::reduced_system_stage_3_kernel,5,1.2991,7.78,0.073,5.16,0.0,
sba::calc_point_update_kernel_xavier_special,5,1.2984,8.88,0.073,5.58,0.0,
sba::v1T_x_M_x_v2_kernel,5,1.0045,8.85,0.057,5.48,0.0,
sba::calc_pose_update_kernel,5,0.9726,7.67,0.055,4.58,0.0,
sba::pose_scaling_term_kernel,5,0.8102,8.85,0.046,5.76,0.0,
cub::DeviceMergeSortBlockSortKernel,5,0.6954,9.57,0.039,5.39,0.0,
filter_maximums_kernel,5,0.533,8.93,0.03,6.39,0.0,
sba::make_prediction,5,0.4788,7.39,0.027,5.5,0.0,
matcher::lift_kernel,5,0.4635,8.7,0.026,3.8,0.0,
cub::DeviceMergeSortMergeKernel,5,0.4177,9.97,0.024,6.97,0.0,
sba::update_points_kernel,5,0.3976,10.41,0.022,6.31,0.0,
cub::DeviceMergeSortPartitionKernel,5,0.3764,8.03,0.021,5.06,0.0,
dtrsv_init,5,0.343,7.42,0.019,5.47,0.0,
copy_info_kernel,5,0.3418,7.73,0.019,5.52,0.0,
xxtrf4_set_info_ker,5,0.3399,8.17,0.019,5.26,0.0,
dtrsv_init_up,5,0.3379,8.26,0.019,5.83,0.0,
sba::update_poses_kernel,5,0.2969,9.01,0.017,6.04,0.0,
sba::clear_full_system_stage_2_kernel,5,0.2706,8.54,0.015,5.62,0.0,
