kernel,stage,launches,time_ms,dram_read_bytes,dram_write_bytes,rw_ratio,achieved_gbps,bytes_per_launch,est_bytes_per_frame
conv_grad_x_kernel,feature_detect,25,0.1679,1.23617e+07,0,inf,73.64,494469,3.31865e+06
gaussian_scaling_kernel,preprocess,17,0.1998,1.07724e+07,0,inf,53.9,633668,3.40231e+06
lk_track_kernel,tracking,6,0.2842,1.0647e+07,0,inf,37.46,1.77451e+06,3.53536e+06
conv_grad_y_kernel,feature_detect,15,0.1076,7.40506e+06,0,inf,68.85,493670,2.46835e+06
cast_image_kernel_rgb,preprocess,4,0.2137,5.45626e+06,0,inf,25.53,1.36406e+06,1.83099e+06
sba::build_full_system_1_kernel,bundle_adjust,9,0.6269,4.7209e+06,0,inf,7.53,524544,1.37794e+06
gftt_values_kernel,feature_detect,1,0.0413,3.65286e+06,0,inf,88.49,3.65286e+06,1.2504e+06
lk_track_horizontal_kernel,tracking,2,0.0737,3.44653e+06,0,inf,46.75,1.72326e+06,589887
sba::build_full_system_2_kernel,bundle_adjust,9,0.1824,2.67776e+06,0,inf,14.68,297529,781586
sba::reduced_system_stage_2_kernel,bundle_adjust,8,0.1561,2.56102e+06,0,inf,16.4,320128,758457
accumulateGFTT_kernel,feature_detect,1,0.0128,1.82861e+06,0,inf,143.22,1.82861e+06,625947
non_max_suppression_kernel,feature_detect,1,0.0148,1.82746e+06,0,inf,123.34,1.82746e+06,625552
downsample_gftt_x8_kernel,feature_detect,1,0.0115,1.80608e+06,0,inf,157.21,1.80608e+06,618235
sba::reduced_system_stage_12_kernel,bundle_adjust,8,0.0641,1.43808e+06,0,inf,22.43,179760,425893
sba::evaluate_cost_kernel,bundle_adjust,9,0.0513,1.3353e+06,0,inf,26.03,148366,401730
sba::reduced_system_stage_3_kernel,bundle_adjust,7,0.0393,1.32787e+06,0,inf,33.76,189696,449434
sba::calc_jacobians_kernel,bundle_adjust,9,0.0685,1.2681e+06,0,inf,18.5,140900,370132
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,7,0.0484,1.17286e+06,0,inf,24.24,167552,396969
sba::calc_point_update_kernel_xavier_special,bundle_adjust,7,0.0317,1.17274e+06,0,inf,36.94,167534,396926
select_features_kernel,feature_detect,1,0.0066,679680,0,inf,102.61,679680,232660
sba::point_term_kernel,bundle_adjust,14,0.0467,521728,0,inf,11.17,37266.3,176585
getrf_wo_pivot_params,ba_solver,7,0.0621,405760,0,inf,6.54,57965.7,137334
sba::reduced_system_stage_1_kernel,bundle_adjust,8,0.1163,314240,0,inf,2.7,39280,93063.4
cub::DeviceMergeSortMergeKernel,keypoint_sort,3,0.0154,265856,0,inf,17.27,88618.7,91004.6
trsv_lt_exec,ba_solver,7,0.0779,252544,0,inf,3.24,36077.7,85476.4
sba::update_points_kernel,bundle_adjust,7,0.0185,202112,0,inf,10.91,28873.1,66075.1
sba::calc_pose_update_kernel,bundle_adjust,7,0.0249,175616,0,inf,7.04,25088,59439.3
trsv_ln_exec,ba_solver,7,0.0612,157696,0,inf,2.58,22528,53374
sba::reduce_abs_max_kernel,bundle_adjust,14,0.0549,105856,0,inf,1.93,7561.14,35828.2
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,1,0.0117,87936,0,inf,7.49,87936,30101.2
sba::v1T_x_M_x_v2_kernel,bundle_adjust,7,0.0235,50688,0,inf,2.16,7241.14,17155.9
sba::pose_scaling_term_kernel,bundle_adjust,7,0.0226,34176,0,inf,1.51,4882.29,11567.3
sba::update_poses_kernel,bundle_adjust,7,0.0169,33280,0,inf,1.97,4754.29,10880
sba::clear_full_system_stage_1_kernel,bundle_adjust,9,0.0577,26112,0,inf,0.45,2901.33,7621.58
sba::clear_full_system_stage_2_kernel,bundle_adjust,9,0.0173,24192,0,inf,1.39,2688,7061.17
sba::make_prediction,bundle_adjust,7,0.0163,21248,0,inf,1.31,3035.43,7191.63
cub::DeviceMergeSortPartitionKernel,keypoint_sort,3,0.0178,19968,0,inf,1.12,6656,6835.2
dtrsv_init_up,ba_solver,7,0.0134,19200,0,inf,1.44,2742.86,6498.46
dtrsv_init,ba_solver,7,0.0133,18944,0,inf,1.42,2706.29,6411.82
xxtrf4_set_info_ker,ba_solver,7,0.0131,17280,0,inf,1.32,2468.57,5848.62
copy_info_kernel,ba_solver,7,0.0134,17280,0,inf,1.29,2468.57,5848.62
filter_maximums_kernel,feature_detect,1,0.0028,5504,0,inf,2.0,5504,1862.89
