kernel,stage,persistence,pct_gpu_time,total_ms,instances,avg_us
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,17.94,34.122,683,50.0
cast_image_kernel_rgb,preprocess,streaming,9.71,18.464,349,52.9
lk_track_kernel,tracking,streaming+hot,9.33,17.744,518,34.3
gaussian_scaling_kernel,preprocess,streaming,8.03,15.275,1396,10.9
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,4.96,9.433,683,13.8
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,4.54,8.628,616,14.0
conv_grad_x_kernel,feature_detect,streaming,4.28,8.136,1745,4.7
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,4.28,8.136,616,13.2
conv_grad_y_kernel,feature_detect,streaming,3.52,6.698,1300,5.2
trsv_lt_exec,ba_solver,hot-persistent,2.62,4.975,616,8.1
getrf_wo_pivot_params,ba_solver,hot-persistent,2.55,4.848,616,7.9
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,2.1,3.986,683,5.8
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,2.02,3.848,683,5.6
trsv_ln_exec,ba_solver,hot-persistent,1.9,3.615,616,5.9
gftt_values_kernel,feature_detect,streaming,1.78,3.386,89,38.0
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,1.72,3.272,616,5.3
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,1.68,3.203,616,5.2
sba::point_term_kernel,bundle_adjust,hot-persistent,1.61,3.057,1232,2.5
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,1.6,3.052,1232,2.5
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,1.44,2.742,704,3.9
lk_track_horizontal_kernel,tracking,streaming+hot,1.43,2.725,89,30.6
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,1.11,2.118,616,3.4
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,0.87,1.66,616,2.7
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,0.76,1.452,616,2.4
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,0.76,1.446,616,2.3
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,0.71,1.346,616,2.2
sba::update_points_kernel,bundle_adjust,hot-persistent,0.58,1.103,595,1.9
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,0.55,1.04,267,3.9
non_max_suppression_kernel,feature_detect,streaming,0.54,1.036,89,11.6
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,0.51,0.977,267,3.7
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,0.5,0.955,89,10.7
sba::make_prediction,bundle_adjust,hot-persistent,0.49,0.936,616,1.5
sba::update_poses_kernel,bundle_adjust,hot-persistent,0.48,0.915,595,1.5
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,0.44,0.836,683,1.2
xxtrf4_set_info_ker,ba_solver,hot-persistent,0.41,0.778,616,1.3
copy_info_kernel,ba_solver,hot-persistent,0.41,0.777,616,1.3
dtrsv_init_up,ba_solver,hot-persistent,0.41,0.776,616,1.3
dtrsv_init,ba_solver,hot-persistent,0.41,0.776,616,1.3
accumulateGFTT_kernel,feature_detect,streaming,0.4,0.758,89,8.5
downsample_gftt_x8_kernel,feature_detect,streaming,0.38,0.717,89,8.1
select_features_kernel,feature_detect,streaming,0.17,0.315,89,3.5
filter_maximums_kernel,feature_detect,streaming,0.08,0.162,88,1.8
