kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,lfmr_gpu,mpki_gpu,dram_bytes_per_launch,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
sba::build_full_system_1_kernel,bundle_adjust,memory-latency,9,0.6269,6.6,1.33,3.47,85.45,79.04,12.2,14.05,11.55,0.2096,350.834,524544,23.091,0.013,1.187,0.0,0.0,0.005,0.0,1.691,0.053
lk_track_kernel,tracking,memory-latency,6,0.2842,18.0,16.9,17.25,82.57,49.45,17.85,2.3,1.0,0.5055,67.991,1.77451e+06,4.573,2.238,0.0,0.02,0.618,0.032,0.0,1.598,0.231
cast_image_kernel_rgb,preprocess,compute-leaning,4,0.2137,11.76,83.96,11.76,52.68,66.46,90.11,4.77,4.0,0.3354,87.044,1.36406e+06,16.789,39.678,0.199,0.102,95.094,0.034,0.0,2.876,1.385
gaussian_scaling_kernel,preprocess,mixed,17,0.1998,55.04,63.16,24.87,91.38,45.2,56.06,0.0,3.92,0.548,27.523,633668,2.372,0.033,0.0,0.019,1.0,2.859,0.0,0.849,3.083
sba::build_full_system_2_kernel,bundle_adjust,memory-latency,9,0.1824,6.78,4.37,6.78,57.72,59.2,15.45,7.35,0.0,0.408,123.898,297529,5.845,0.266,0.013,1.055,0.0,0.027,1.009,1.413,0.176
conv_grad_x_kernel,feature_detect,memory-latency,25,0.1679,35.39,33.22,34.08,56.99,56.24,47.1,0.0,3.96,0.4376,104.584,494469,5.136,0.256,0.002,3.963,5.379,0.134,0.728,1.41,1.34
sba::reduced_system_stage_2_kernel,bundle_adjust,memory-latency,8,0.1561,29.25,33.99,7.57,42.02,91.86,82.95,3.95,1.0,0.0814,11.084,320128,14.612,1.069,0.0,0.134,0.0,0.751,1.9,2.854,1.296
sba::reduced_system_stage_1_kernel,bundle_adjust,underutilized,8,0.1163,21.16,7.3,1.25,95.79,96.7,2.08,26.74,26.74,0.033,18.765,39280,1.083,0.049,0.002,0.0,0.0,0.001,0.0,1.885,0.0
conv_grad_y_kernel,feature_detect,memory-bound,15,0.1076,41.83,21.91,31.86,45.5,57.19,48.35,0.0,3.96,0.4281,120.13,493670,6.351,1.258,0.003,7.209,6.272,0.1,0.809,1.223,1.302
trsv_lt_exec,ba_solver,memory-latency,7,0.0779,1.5,0.27,1.5,27.27,65.08,7.06,1.5,2.0,0.3492,412.072,36077.7,5.569,0.714,0.0,0.0,0.0,0.006,3.862,2.606,0.0
