kernel,tum_ada,kitti_ada,tumvi_ada,tum_mx450,agreement
accumulateGFTT_kernel,G1-bandwidth,G1-bandwidth,G1-bandwidth,G1-bandwidth,✓
cast_depth_kernel,G5-compute,—,—,G5-compute,✓
cast_image_kernel,—,—,G3-l2-reuse,—,n/a
cast_image_kernel_rgb,G5-compute,G5-compute,—,G1-bandwidth,✗ G1-bandwidth/G5-compute
conv_grad_x_kernel,G1-bandwidth,G1-bandwidth,G1-bandwidth,G1-bandwidth,✓
conv_grad_y_kernel,G1-bandwidth,G6-onchip,G1-bandwidth,G1-bandwidth,✗ G1-bandwidth/G6-onchip
copy_info_kernel,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
cub::DeviceMergeSortBlockSortKernel,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
cub::DeviceMergeSortMergeKernel,G2-coalescing,G2-coalescing,G2-coalescing,G2-coalescing,✓
cub::DeviceMergeSortPartitionKernel,G3-l2-reuse,G3-l2-reuse,G3-l2-reuse,G4-latency,✗ G3-l2-reuse/G4-latency
downsample_gftt_x8_kernel,G1-bandwidth,G1-bandwidth,G1-bandwidth,G1-bandwidth,✓
dtrsv_init,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
dtrsv_init_up,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
filter_maximums_kernel,G3-l2-reuse,G3-l2-reuse,G3-l2-reuse,G3-l2-reuse,✓
gaussian_scaling_kernel,G1-bandwidth,G1-bandwidth,G1-bandwidth,G1-bandwidth,✓
getrf_wo_pivot_params,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
gftt_values_kernel,G1-bandwidth,G3-l2-reuse,G1-bandwidth,G1-bandwidth,✗ G1-bandwidth/G3-l2-reuse
lk_track_horizontal_kernel,—,G1-bandwidth,—,—,n/a
lk_track_kernel,G4-latency,G4-latency,G4-latency,G1-bandwidth,✗ G1-bandwidth/G4-latency
matcher::lift_kernel,G2-coalescing,—,—,G2-coalescing,✓
matcher::photometric_kernel,G7-dependency,—,—,G7-dependency,✓
matcher::point_to_point_kernel,G7-dependency,—,—,G7-dependency,✓
non_max_suppression_kernel,G1-bandwidth,G1-bandwidth,G1-bandwidth,G1-bandwidth,✓
sba::build_full_system_1_kernel,G2-coalescing,G2-coalescing,G3-l2-reuse,G2-coalescing,✗ G2-coalescing/G3-l2-reuse
sba::build_full_system_2_kernel,G4-latency,G4-latency,G6-onchip,G4-latency,✗ G4-latency/G6-onchip
sba::calc_jacobians_kernel,G2-coalescing,G2-coalescing,G7-dependency,G2-coalescing,✗ G2-coalescing/G7-dependency
sba::calc_point_update_kernel_xavier_special,G1-bandwidth,G1-bandwidth,G3-l2-reuse,G1-bandwidth,✗ G1-bandwidth/G3-l2-reuse
sba::calc_pose_update_kernel,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
sba::clear_full_system_stage_1_kernel,G2-coalescing,G2-coalescing,G0-nosignal,G2-coalescing,✗ G0-nosignal/G2-coalescing
sba::clear_full_system_stage_2_kernel,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
sba::evaluate_cost_kernel,G2-coalescing,G2-coalescing,G7-dependency,G2-coalescing,✗ G2-coalescing/G7-dependency
sba::make_prediction,G4-latency,G3-l2-reuse,G3-l2-reuse,G3-l2-reuse,✗ G3-l2-reuse/G4-latency
sba::point_term_kernel,G2-coalescing,G2-coalescing,G7-dependency,G2-coalescing,✗ G2-coalescing/G7-dependency
sba::pose_scaling_term_kernel,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
sba::reduce_abs_max_kernel,G4-latency,G4-latency,G7-dependency,G3-l2-reuse,✗ G3-l2-reuse/G4-latency/G7-dependency
sba::reduced_system_stage_12_kernel,G0-nosignal,G0-nosignal,G7-dependency,G2-coalescing,✗ G0-nosignal/G2-coalescing/G7-dependency
sba::reduced_system_stage_1_kernel,G7-dependency,G7-dependency,G7-dependency,G2-coalescing,✗ G2-coalescing/G7-dependency
sba::reduced_system_stage_2_kernel,G3-l2-reuse,G3-l2-reuse,G5-compute,G3-l2-reuse,✗ G3-l2-reuse/G5-compute
sba::reduced_system_stage_3_kernel,G4-latency,G4-latency,G7-dependency,G1-bandwidth,✗ G1-bandwidth/G4-latency/G7-dependency
sba::update_points_kernel,G2-coalescing,G2-coalescing,G4-latency,G2-coalescing,✗ G2-coalescing/G4-latency
sba::update_poses_kernel,G3-l2-reuse,G3-l2-reuse,G3-l2-reuse,G3-l2-reuse,✓
sba::v1T_x_M_T_x_v2_kernel,G1-bandwidth,G1-bandwidth,G3-l2-reuse,G1-bandwidth,✗ G1-bandwidth/G3-l2-reuse
sba::v1T_x_M_x_v2_kernel,G7-dependency,G7-dependency,G7-dependency,G0-nosignal,✗ G0-nosignal/G7-dependency
select_features_kernel,G2-coalescing,G2-coalescing,G2-coalescing,G1-bandwidth,✗ G1-bandwidth/G2-coalescing
st_build_cache_kernel,G2-coalescing,G2-coalescing,G3-l2-reuse,G2-coalescing,✗ G2-coalescing/G3-l2-reuse
st_track_with_cache_kernel,G2-coalescing,—,G3-l2-reuse,G2-coalescing,✗ G2-coalescing/G3-l2-reuse
trsv_ln_exec,G3-l2-reuse,G4-latency,G4-latency,G4-latency,✗ G3-l2-reuse/G4-latency
trsv_lt_exec,G4-latency,G3-l2-reuse,G3-l2-reuse,G4-latency,✗ G3-l2-reuse/G4-latency
xxtrf4_set_info_ker,G7-dependency,G7-dependency,G7-dependency,G7-dependency,✓
