kernel,tree_class,kmeans_cluster_k7
st_track_with_cache_kernel,G2-coalescing,1
st_build_cache_kernel,G2-coalescing,5
matcher::photometric_kernel,G7-dependency,3
matcher::point_to_point_kernel,G7-dependency,3
sba::build_full_system_1_kernel,G2-coalescing,3
cast_depth_kernel,G5-compute,2
sba::reduced_system_stage_2_kernel,G3-l2-reuse,0
gaussian_scaling_kernel,G1-bandwidth,4
sba::reduced_system_stage_1_kernel,G7-dependency,1
sba::build_full_system_2_kernel,G4-latency,3
lk_track_kernel,G4-latency,4
trsv_lt_exec,G4-latency,6
getrf_wo_pivot_params,G7-dependency,3
trsv_ln_exec,G3-l2-reuse,6
sba::calc_jacobians_kernel,G2-coalescing,1
