kernel,stage,launches,time_ms,dram_read_bytes,dram_write_bytes,rw_ratio,achieved_gbps,bytes_per_launch,est_bytes_per_frame
gaussian_scaling_kernel,preprocess,15,0.1273,5.10221e+06,0,inf,40.07,340147,3.40147e+06
lk_track_kernel,tracking,4,0.0875,3.65645e+06,0,inf,41.79,914112,1.82119e+06
sba::build_full_system_1_kernel,bundle_adjust,7,0.3758,2.59264e+06,0,inf,6.9,370377,126783
gftt_values_kernel,feature_detect,1,0.0286,2.46374e+06,0,inf,86.22,2.46374e+06,170567
sba::reduced_system_stage_2_kernel,bundle_adjust,7,0.1282,2.05888e+06,0,inf,16.06,294126,128963
conv_grad_y_kernel,feature_detect,8,0.0414,1.70138e+06,0,inf,41.12,212672,1.27603e+06
conv_grad_x_kernel,feature_detect,7,0.0363,1.69434e+06,0,inf,46.65,242048,1.45229e+06
matcher::photometric_kernel,tracking,33,0.5813,1.44909e+06,0,inf,2.49,43911.8,721673
matcher::point_to_point_kernel,tracking,33,0.5504,1.2489e+06,0,inf,2.27,37845.3,621973
cast_depth_kernel,preprocess,2,0.1502,1.24083e+06,0,inf,8.26,620416,620416
accumulateGFTT_kernel,feature_detect,1,0.0103,1.2343e+06,0,inf,120.16,1.2343e+06,85451.8
downsample_gftt_x8_kernel,feature_detect,1,0.0089,1.23328e+06,0,inf,138.14,1.23328e+06,85380.9
non_max_suppression_kernel,feature_detect,1,0.0113,1.23302e+06,0,inf,109.47,1.23302e+06,85363.2
sba::reduced_system_stage_12_kernel,bundle_adjust,7,0.0495,1.15558e+06,0,inf,23.34,165083,72382.7
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,6,0.0414,1.12115e+06,0,inf,27.08,186859,81930.3
sba::reduced_system_stage_3_kernel,bundle_adjust,7,0.0367,1.07712e+06,0,inf,29.35,153874,67468
sba::build_full_system_2_kernel,bundle_adjust,7,0.1073,978176,0,inf,9.11,139739,47833.9
sba::calc_point_update_kernel_xavier_special,bundle_adjust,6,0.0266,928256,0,inf,34.87,154709,67834.1
cast_image_kernel_rgb,preprocess,1,0.0368,924800,0,inf,25.15,924800,924800
sba::evaluate_cost_kernel,bundle_adjust,7,0.0391,667008,0,inf,17.04,95286.9,48009.9
sba::calc_jacobians_kernel,bundle_adjust,7,0.0501,615552,0,inf,12.28,87936,30101.2
select_features_kernel,feature_detect,1,0.0057,484992,0,inf,84.67,484992,33576.4
getrf_wo_pivot_params,ba_solver,6,0.0533,347520,0,inf,6.52,57920,25395.7
sba::point_term_kernel,bundle_adjust,12,0.0412,340992,0,inf,8.27,28416,24918.6
sba::reduced_system_stage_1_kernel,bundle_adjust,7,0.1086,259712,0,inf,2.39,37101.7,16267.7
trsv_lt_exec,ba_solver,6,0.0661,216576,0,inf,3.27,36096,15826.7
sba::update_points_kernel,bundle_adjust,6,0.0156,161280,0,inf,10.37,26880,7443.69
cub::DeviceMergeSortMergeKernel,keypoint_sort,2,0.0102,137088,0,inf,13.43,68544,9490.71
trsv_ln_exec,ba_solver,6,0.0522,135168,0,inf,2.59,22528,9877.66
matcher::lift_kernel,tracking,1,0.0055,90496,0,inf,16.54,90496,6265.11
sba::reduce_abs_max_kernel,bundle_adjust,12,0.0456,87424,0,inf,1.92,7285.33,6388.68
sba::make_prediction,bundle_adjust,6,0.0139,83968,0,inf,6.03,13994.7,6136.12
sba::clear_full_system_stage_2_kernel,bundle_adjust,7,0.0133,71296,0,inf,5.37,10185.1,3486.45
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,1,0.0116,68096,0,inf,5.88,68096,4714.34
sba::calc_pose_update_kernel,bundle_adjust,6,0.0196,59392,0,inf,3.03,9898.67,4340.18
sba::v1T_x_M_x_v2_kernel,bundle_adjust,6,0.0201,43008,0,inf,2.14,7168,3142.89
sba::pose_scaling_term_kernel,bundle_adjust,6,0.0195,29568,0,inf,1.51,4928,2160.74
sba::update_poses_kernel,bundle_adjust,6,0.0144,28544,0,inf,1.98,4757.33,1317.42
sba::clear_full_system_stage_1_kernel,bundle_adjust,7,0.0442,20224,0,inf,0.46,2889.14,988.976
xxtrf4_set_info_ker,ba_solver,7,0.0133,17280,0,inf,1.3,2468.57,1082.37
dtrsv_init,ba_solver,6,0.0113,16256,0,inf,1.44,2709.33,1187.94
dtrsv_init_up,ba_solver,6,0.0113,16256,0,inf,1.44,2709.33,1187.94
copy_info_kernel,ba_solver,6,0.0112,14720,0,inf,1.31,2453.33,1075.69
cub::DeviceMergeSortPartitionKernel,keypoint_sort,2,0.0119,13056,0,inf,1.1,6528,903.877
filter_maximums_kernel,feature_detect,1,0.0028,5632,0,inf,2.0,5632,368.246
