kernel,stage,persistence,pct_gpu_time,total_ms,instances,avg_us
matcher::photometric_kernel,tracking,streaming+hot,31.0,67.059,4273,15.7
matcher::point_to_point_kernel,tracking,streaming+hot,28.96,62.653,4273,14.7
cast_depth_kernel,preprocess,streaming,9.12,19.73,260,75.9
gaussian_scaling_kernel,preprocess,streaming,8.48,18.336,2600,7.1
lk_track_kernel,tracking,streaming+hot,5.36,11.604,518,22.4
cast_image_kernel_rgb,preprocess,streaming,4.35,9.402,260,36.2
conv_grad_y_kernel,feature_detect,streaming,2.76,5.964,1560,3.8
conv_grad_x_kernel,feature_detect,streaming,2.56,5.532,1560,3.5
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,1.08,2.344,89,26.3
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,0.73,1.575,114,13.8
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,0.6,1.291,114,11.3
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,0.42,0.9,89,10.1
trsv_lt_exec,ba_solver,hot-persistent,0.4,0.871,114,7.6
getrf_wo_pivot_params,ba_solver,hot-persistent,0.39,0.849,114,7.4
trsv_ln_exec,ba_solver,hot-persistent,0.3,0.65,114,5.7
sba::point_term_kernel,bundle_adjust,hot-persistent,0.26,0.563,228,2.5
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,0.25,0.547,228,2.4
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,0.25,0.544,114,4.8
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,0.24,0.519,114,4.6
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,0.23,0.505,89,5.7
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,0.23,0.5,131,3.8
gftt_values_kernel,feature_detect,streaming,0.22,0.471,18,26.2
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,0.17,0.371,89,4.2
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,0.17,0.365,114,3.2
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,0.13,0.279,114,2.4
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,0.13,0.278,114,2.4
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,0.12,0.266,114,2.3
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,0.12,0.25,114,2.2
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,0.09,0.19,18,10.6
sba::make_prediction,bundle_adjust,hot-persistent,0.08,0.177,114,1.6
non_max_suppression_kernel,feature_detect,streaming,0.07,0.149,18,8.3
copy_info_kernel,ba_solver,hot-persistent,0.07,0.143,114,1.3
dtrsv_init,ba_solver,hot-persistent,0.07,0.143,114,1.3
dtrsv_init_up,ba_solver,hot-persistent,0.07,0.143,114,1.3
xxtrf4_set_info_ker,ba_solver,hot-persistent,0.07,0.143,114,1.3
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,0.06,0.139,36,3.8
sba::update_points_kernel,bundle_adjust,hot-persistent,0.06,0.132,72,1.8
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,0.06,0.131,36,3.6
accumulateGFTT_kernel,feature_detect,streaming,0.05,0.112,18,6.2
sba::update_poses_kernel,bundle_adjust,hot-persistent,0.05,0.11,72,1.5
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,0.05,0.109,89,1.2
downsample_gftt_x8_kernel,feature_detect,streaming,0.05,0.107,18,6.0
matcher::lift_kernel,tracking,streaming+hot,0.03,0.075,18,4.2
select_features_kernel,feature_detect,streaming,0.03,0.056,18,3.1
filter_maximums_kernel,feature_detect,streaming,0.02,0.033,17,1.9
