kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,lfmr_gpu,mpki_gpu,dram_bytes_per_launch,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
matcher::photometric_kernel,tracking,underutilized,33,0.5813,1.21,0.55,1.15,85.49,60.19,11.15,22.27,0.0,0.3981,100.446,43911.8,0.834,2.49,0.003,0.008,0.362,0.036,0.825,2.577,0.069
matcher::point_to_point_kernel,tracking,underutilized,33,0.5504,1.05,0.57,1.05,56.02,59.3,10.83,22.21,0.0,0.407,88.306,37845.3,0.873,2.431,0.003,0.042,0.0,0.025,0.558,2.549,0.087
sba::build_full_system_1_kernel,bundle_adjust,memory-latency,7,0.3758,4.81,0.88,3.18,85.94,74.09,12.32,15.16,12.87,0.2591,490.935,370377,27.608,0.017,1.553,0.0,0.0,0.005,0.0,1.695,0.052
cast_depth_kernel,preprocess,compute-leaning,2,0.1502,4.61,83.38,3.8,2.76,67.62,85.42,2.0,3.99,0.3238,32.59,620416,0.0,71.938,0.0,0.084,95.402,0.098,0.0,2.961,1.4
sba::reduced_system_stage_2_kernel,bundle_adjust,memory-latency,7,0.1282,29.51,34.93,7.41,43.25,93.36,83.15,3.95,1.0,0.0664,10.526,294126,13.684,1.103,0.0,0.137,0.0,0.861,1.106,2.857,1.444
gaussian_scaling_kernel,preprocess,mixed,15,0.1273,43.73,49.04,18.52,91.41,49.27,46.0,0.0,3.79,0.5073,26.434,340147,2.356,0.034,0.0,0.017,1.113,2.147,0.0,0.845,2.326
sba::reduced_system_stage_1_kernel,bundle_adjust,underutilized,7,0.1086,19.2,6.38,1.1,95.57,96.82,2.08,26.22,26.22,0.0318,18.954,37101.7,1.176,0.049,0.002,0.0,0.0,0.001,0.0,1.886,0.0
sba::build_full_system_2_kernel,bundle_adjust,memory-latency,7,0.1073,5.11,5.11,4.21,55.64,62.11,15.06,6.26,0.0,0.3789,77.137,139739,5.208,0.342,0.036,1.4,0.0,0.034,0.674,1.415,0.219
lk_track_kernel,tracking,memory-latency,4,0.0875,21.82,21.82,19.27,80.31,59.67,16.48,2.33,1.0,0.4033,60.993,914112,4.469,2.065,0.0,0.013,0.599,0.023,0.0,1.53,0.139
trsv_lt_exec,ba_solver,memory-latency,6,0.0661,1.51,0.27,1.51,27.27,64.13,7.06,1.5,2.0,0.3587,412.281,36096,5.57,0.715,0.0,0.0,0.0,0.006,3.795,2.606,0.0
getrf_wo_pivot_params,ba_solver,underutilized,6,0.0533,3.02,0.71,3.02,39.67,65.98,8.14,6.0,1.96,0.3402,278.891,57920,0.319,1.554,0.0,0.012,0.0,0.002,0.526,2.232,0.0
trsv_ln_exec,ba_solver,memory-latency,6,0.0522,1.2,0.17,1.2,27.27,65.76,6.99,1.5,2.0,0.3424,411.696,22528,8.725,0.772,0.0,0.0,0.0,0.0,2.762,2.996,0.0
sba::calc_jacobians_kernel,bundle_adjust,memory-latency,7,0.0501,22.22,1.64,5.7,77.36,91.19,15.02,15.99,25.26,0.0881,188.516,87936,6.869,0.768,5.17,0.011,0.0,0.015,3.545,0.857,0.39
sba::reduced_system_stage_12_kernel,bundle_adjust,underutilized,7,0.0495,28.29,18.87,10.85,37.71,79.88,79.09,3.39,10.61,0.2012,35.548,165083,8.495,1.793,0.024,0.323,0.0,0.141,25.504,3.187,0.691
sba::reduce_abs_max_kernel,bundle_adjust,memory-latency,12,0.0456,0.89,0.21,0.89,0.0,63.76,15.31,3.61,1.0,0.3624,220.928,7285.33,12.153,1.271,0.0,0.0,0.0,0.045,2.154,2.882,0.082
sba::clear_full_system_stage_1_kernel,bundle_adjust,memory-bound,7,0.0442,44.75,5.52,0.21,35.47,99.42,41.58,0.0,23.99,0.0058,2.218,2889.14,0.308,0.925,0.277,0.14,0.0,0.867,0.0,2.304,1.793
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,memory-latency,6,0.0414,12.59,10.45,12.57,14.49,29.17,41.0,2.38,0.0,0.7083,115.226,186859,25.66,0.558,0.513,1.091,0.0,1.578,5.285,2.457,1.876
