kernel,runs_seen,mean_time_ms,time_cov_pct,mean_share_pct,share_cov_pct,instances_cov_pct,mem_sol_cov_pct
matcher::photometric_kernel,5,67.0223,0.1,31.0,0.03,0.1,
matcher::point_to_point_kernel,5,62.6151,0.1,28.962,0.04,0.1,
cast_depth_kernel,5,19.7383,0.05,9.13,0.08,0.0,
gaussian_scaling_kernel,5,18.3245,0.07,8.476,0.07,0.0,
lk_track_kernel,5,11.59,0.13,5.361,0.06,0.0,
cast_image_kernel_rgb,5,9.4004,0.02,4.348,0.06,0.0,
conv_grad_y_kernel,5,5.9611,0.1,2.757,0.1,0.0,
conv_grad_x_kernel,5,5.5268,0.17,2.556,0.15,0.0,
sba::build_full_system_1_kernel,5,2.3413,0.13,1.083,0.11,0.0,
sba::reduced_system_stage_1_kernel,5,1.576,0.79,0.729,0.74,0.0,
sba::reduced_system_stage_2_kernel,5,1.2906,0.11,0.597,0.07,0.0,
sba::build_full_system_2_kernel,5,0.9005,0.04,0.416,0.11,0.0,
trsv_lt_exec,5,0.8703,0.07,0.403,0.08,0.0,
getrf_wo_pivot_params,5,0.8489,0.04,0.393,0.05,0.0,
trsv_ln_exec,5,0.6497,0.12,0.301,0.11,0.0,
sba::point_term_kernel,5,0.5621,0.1,0.26,0.1,0.0,
sba::reduce_abs_max_kernel,5,0.5465,0.14,0.253,0.12,0.0,
sba::v1T_x_M_T_x_v2_kernel,5,0.5431,0.23,0.251,0.22,0.0,
sba::reduced_system_stage_12_kernel,5,0.5187,0.2,0.24,0.18,0.0,
sba::calc_jacobians_kernel,5,0.5041,0.18,0.233,0.16,0.0,
sba::evaluate_cost_kernel,5,0.4994,0.16,0.231,0.18,0.0,
gftt_values_kernel,5,0.4711,0.14,0.218,0.14,0.0,
sba::clear_full_system_stage_1_kernel,5,0.3708,0.15,0.171,0.12,0.0,
sba::reduced_system_stage_3_kernel,5,0.3649,0.18,0.169,0.17,0.0,
sba::calc_point_update_kernel_xavier_special,5,0.2788,0.1,0.129,0.15,0.0,
sba::calc_pose_update_kernel,5,0.2787,0.16,0.129,0.14,0.0,
sba::v1T_x_M_x_v2_kernel,5,0.2659,0.12,0.123,0.12,0.0,
sba::pose_scaling_term_kernel,5,0.2494,0.16,0.115,0.16,0.0,
cub::DeviceMergeSortBlockSortKernel,5,0.19,0.17,0.088,0.21,0.0,
sba::make_prediction,5,0.1771,0.2,0.082,0.17,0.0,
non_max_suppression_kernel,5,0.149,0.1,0.069,0.13,0.0,
copy_info_kernel,5,0.1433,0.18,0.066,0.2,0.0,
dtrsv_init_up,5,0.143,0.21,0.066,0.25,0.0,
xxtrf4_set_info_ker,5,0.1428,0.17,0.066,0.18,0.0,
dtrsv_init,5,0.1428,0.22,0.066,0.19,0.0,
cub::DeviceMergeSortMergeKernel,5,0.1386,0.25,0.064,0.3,0.0,
sba::update_points_kernel,5,0.1322,0.06,0.061,0.13,0.0,
cub::DeviceMergeSortPartitionKernel,5,0.1306,0.49,0.06,0.48,0.0,
accumulateGFTT_kernel,5,0.1121,0.06,0.052,0.08,0.0,
sba::update_poses_kernel,5,0.1101,0.17,0.051,0.17,0.0,
sba::clear_full_system_stage_2_kernel,5,0.1088,0.12,0.05,0.1,0.0,
downsample_gftt_x8_kernel,5,0.1074,0.05,0.05,0.06,0.0,
matcher::lift_kernel,5,0.0753,0.06,0.035,0.12,0.0,
select_features_kernel,5,0.0556,0.36,0.026,0.33,0.0,
filter_maximums_kernel,5,0.0326,0.31,0.015,0.29,0.0,
