kernel,stage,launches,time_ms,dram_read_bytes,dram_write_bytes,rw_ratio,achieved_gbps,bytes_per_launch,est_bytes_per_frame
lk_track_kernel,tracking,3,0.1762,6.53914e+06,0,inf,37.11,2.17971e+06,6.52237e+06
gaussian_scaling_kernel,preprocess,10,0.0793,2.92109e+06,0,inf,36.85,292109,2.92109e+06
conv_grad_x_kernel,feature_detect,12,0.0601,2.8896e+06,0,inf,48.11,240800,2.8896e+06
gftt_values_kernel,feature_detect,1,0.0251,2.10342e+06,0,inf,83.74,2.10342e+06,2.10342e+06
conv_grad_y_kernel,feature_detect,6,0.0322,1.67091e+06,0,inf,51.9,278485,1.67091e+06
accumulateGFTT_kernel,feature_detect,1,0.0092,1.05395e+06,0,inf,113.97,1.05395e+06,1.05395e+06
downsample_gftt_x8_kernel,feature_detect,1,0.0083,1.05306e+06,0,inf,127.55,1.05306e+06,1.05306e+06
non_max_suppression_kernel,feature_detect,1,0.01,1.05254e+06,0,inf,105.42,1.05254e+06,1.05254e+06
getrf_wo_pivot_params,ba_solver,10,0.0897,579712,0,inf,6.46,57971.2,401116
cast_image_kernel,preprocess,2,0.0143,530176,0,inf,37.06,265088,530176
select_features_kernel,feature_detect,1,0.0055,454528,0,inf,82.1,454528,454528
sba::reduced_system_stage_2_kernel,bundle_adjust,10,0.0927,380544,0,inf,4.1,38054.4,263307
trsv_lt_exec,ba_solver,10,0.1113,360832,0,inf,3.24,36083.2,249668
trsv_ln_exec,ba_solver,10,0.0877,225024,0,inf,2.56,22502.4,155699
sba::build_full_system_2_kernel,bundle_adjust,7,0.0582,191232,0,inf,3.29,27318.9,94460.2
sba::reduced_system_stage_1_kernel,bundle_adjust,10,0.1203,136448,0,inf,1.13,13644.8,94411.5
cub::DeviceMergeSortMergeKernel,keypoint_sort,2,0.0102,132352,0,inf,13.01,66176,132352
sba::evaluate_cost_kernel,bundle_adjust,10,0.0511,102656,0,inf,2.01,10265.6,81216.7
sba::make_prediction,bundle_adjust,9,0.0234,100480,0,inf,4.3,11164.4,77249.4
sba::build_full_system_1_kernel,bundle_adjust,7,0.1954,92800,0,inf,0.47,13257.1,45839.1
sba::point_term_kernel,bundle_adjust,18,0.0584,87552,0,inf,1.5,4864,67310.3
sba::calc_pose_update_kernel,bundle_adjust,9,0.0299,85376,0,inf,2.85,9486.22,65637.4
sba::update_points_kernel,bundle_adjust,5,0.0115,83456,0,inf,7.26,16691.2,41150.2
sba::reduce_abs_max_kernel,bundle_adjust,18,0.0515,77952,0,inf,1.51,4330.67,59929.8
sba::calc_jacobians_kernel,bundle_adjust,7,0.0299,75136,0,inf,2.51,10733.7,37113.9
sba::calc_point_update_kernel_xavier_special,bundle_adjust,10,0.0294,74112,0,inf,2.52,7411.2,51279.8
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,9,0.0291,67328,0,inf,2.32,7480.89,51762
sba::reduced_system_stage_3_kernel,bundle_adjust,10,0.0327,66048,0,inf,2.02,6604.8,45700.1
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,1,0.0114,65664,0,inf,5.75,65664,65664
sba::v1T_x_M_x_v2_kernel,bundle_adjust,9,0.0307,65408,0,inf,2.13,7267.56,50285.9
sba::reduced_system_stage_12_kernel,bundle_adjust,10,0.029,61952,0,inf,2.14,6195.2,42866
sba::pose_scaling_term_kernel,bundle_adjust,9,0.0293,43520,0,inf,1.48,4835.56,33458.3
dtrsv_init_up,ba_solver,10,0.0194,29056,0,inf,1.5,2905.6,20104.5
dtrsv_init,ba_solver,10,0.0194,27520,0,inf,1.42,2752,19041.7
xxtrf4_set_info_ker,ba_solver,10,0.0188,24832,0,inf,1.32,2483.2,17181.8
copy_info_kernel,ba_solver,10,0.019,24576,0,inf,1.29,2457.6,17004.7
sba::update_poses_kernel,bundle_adjust,5,0.0123,23936,0,inf,1.95,4787.2,11802.3
sba::clear_full_system_stage_1_kernel,bundle_adjust,7,0.0219,20480,0,inf,0.94,2925.71,10116.2
sba::clear_full_system_stage_2_kernel,bundle_adjust,7,0.0134,18816,0,inf,1.41,2688,9294.28
cub::DeviceMergeSortPartitionKernel,keypoint_sort,2,0.0122,12800,0,inf,1.05,6400,12800
filter_maximums_kernel,feature_detect,1,0.0023,3456,0,inf,1.5,3456,3309.78
