kernel,stage,persistence,pct_gpu_time,total_ms,instances,avg_us
lk_track_kernel,tracking,streaming+hot,14.39,36.69,778,47.2
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,8.35,21.298,1799,11.8
gaussian_scaling_kernel,preprocess,streaming,6.57,16.743,2600,6.4
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,5.88,14.988,1799,8.3
trsv_lt_exec,ba_solver,hot-persistent,5.84,14.891,1799,8.3
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,5.66,14.427,899,16.0
getrf_wo_pivot_params,ba_solver,hot-persistent,5.43,13.853,1799,7.7
trsv_ln_exec,ba_solver,hot-persistent,4.24,10.818,1799,6.0
conv_grad_x_kernel,feature_detect,streaming,3.96,10.089,3120,3.2
sba::point_term_kernel,bundle_adjust,hot-persistent,3.11,7.925,3598,2.2
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,2.81,7.165,3598,2.0
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,2.71,6.908,2057,3.4
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,2.33,5.951,899,6.6
gftt_values_kernel,feature_detect,streaming,2.26,5.772,260,22.2
conv_grad_y_kernel,feature_detect,streaming,2.2,5.616,1560,3.6
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,1.77,4.503,1799,2.5
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,1.65,4.214,1799,2.3
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,1.57,4.014,1799,2.2
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,1.54,3.929,1799,2.2
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,1.42,3.627,1799,2.0
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,1.26,3.22,1799,1.8
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,1.25,3.195,1799,1.8
cast_image_kernel,preprocess,streaming,1.18,3.016,520,5.8
sba::make_prediction,bundle_adjust,hot-persistent,1.11,2.824,1799,1.6
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,1.07,2.733,260,10.5
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,0.94,2.398,899,2.7
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,0.92,2.35,899,2.6
copy_info_kernel,ba_solver,hot-persistent,0.89,2.272,1799,1.3
xxtrf4_set_info_ker,ba_solver,hot-persistent,0.89,2.268,1799,1.3
dtrsv_init_up,ba_solver,hot-persistent,0.89,2.266,1799,1.3
dtrsv_init,ba_solver,hot-persistent,0.89,2.264,1799,1.3
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,0.77,1.969,520,3.8
non_max_suppression_kernel,feature_detect,streaming,0.74,1.897,260,7.3
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,0.73,1.871,520,3.6
downsample_gftt_x8_kernel,feature_detect,streaming,0.57,1.457,260,5.6
accumulateGFTT_kernel,feature_detect,streaming,0.56,1.424,260,5.5
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,0.43,1.106,899,1.2
sba::update_poses_kernel,bundle_adjust,hot-persistent,0.39,0.987,641,1.5
sba::update_points_kernel,bundle_adjust,hot-persistent,0.35,0.903,641,1.4
select_features_kernel,feature_detect,streaming,0.3,0.765,260,2.9
filter_maximums_kernel,feature_detect,streaming,0.15,0.379,249,1.5
