kernel,stage,launches,time_ms,flops,dram_bytes,l1_bytes,l2_bytes,ai_dram,ai_l2,gflops,dram_gbps
sba::build_full_system_1_kernel,bundle_adjust,7,0.1954,43425,92800,553792,608384,0.467942,0.0713776,0.222209,0.474865
lk_track_kernel,tracking,3,0.1762,9.23643e+07,6.53914e+06,1.1713e+08,1.47767e+07,14.1249,6.25069,524.13,37.107
sba::reduced_system_stage_1_kernel,bundle_adjust,10,0.1203,142926,136448,587488,776160,1.04748,0.184145,1.18788,1.13404
trsv_lt_exec,ba_solver,10,0.1113,21175,360832,24640,1.18448e+06,0.0586838,0.017877,0.190258,3.24209
sba::reduced_system_stage_2_kernel,bundle_adjust,10,0.0927,8.54256e+06,380544,1.47693e+06,1.51834e+06,22.4483,5.62626,92.117,4.10352
getrf_wo_pivot_params,ba_solver,10,0.0897,727936,579712,38976,1.83571e+06,1.25569,0.396542,8.1127,6.46077
trsv_ln_exec,ba_solver,10,0.0877,14695,225024,24640,771712,0.0653041,0.0190421,0.167476,2.56455
gaussian_scaling_kernel,preprocess,10,0.0793,8.72942e+06,2.92109e+06,5.60783e+07,5.33997e+06,2.98841,1.63473,110.131,36.8526
conv_grad_x_kernel,feature_detect,12,0.0601,1.00137e+07,2.8896e+06,9.95475e+06,6.27984e+06,3.46543,1.59458,166.717,48.1087
sba::point_term_kernel,bundle_adjust,18,0.0584,27684,87552,29952,356736,0.316201,0.0776036,0.474041,1.49918
sba::build_full_system_2_kernel,bundle_adjust,7,0.0582,1.73901e+06,191232,146880,661056,9.09372,2.63065,29.8922,3.28713
sba::reduce_abs_max_kernel,bundle_adjust,18,0.0515,0,77952,2304,334976,0,0,0,1.51398
sba::evaluate_cost_kernel,bundle_adjust,10,0.0511,43583,102656,105728,328000,0.424554,0.132875,0.852296,2.00751
sba::reduced_system_stage_3_kernel,bundle_adjust,10,0.0327,355920,66048,61440,271872,5.38881,1.30915,10.8937,2.02155
conv_grad_y_kernel,feature_detect,6,0.0322,4.89421e+06,1.67091e+06,4.88922e+06,3.54854e+06,2.92906,1.37922,152.032,51.9046
sba::v1T_x_M_x_v2_kernel,bundle_adjust,9,0.0307,321624,65408,55296,246272,4.9172,1.30597,10.4914,2.13361
sba::calc_jacobians_kernel,bundle_adjust,7,0.0299,70059,75136,174272,277056,0.932429,0.252869,2.34154,2.51123
sba::calc_pose_update_kernel,bundle_adjust,9,0.0299,5160,85376,23616,289728,0.0604385,0.0178098,0.17246,2.85348
sba::calc_point_update_kernel_xavier_special,bundle_adjust,10,0.0294,10080,74112,30720,256832,0.13601,0.0392474,0.342764,2.52013
sba::pose_scaling_term_kernel,bundle_adjust,9,0.0293,13392,43520,8064,170528,0.307721,0.0785326,0.456379,1.4831
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,9,0.0291,9261,67328,32832,236192,0.13755,0.0392096,0.318729,2.31718
sba::reduced_system_stage_12_kernel,bundle_adjust,10,0.029,30240,61952,166080,347744,0.48812,0.0869605,1.04305,2.13687
gftt_values_kernel,feature_detect,1,0.0251,3.35544e+07,2.10342e+06,1.27753e+07,5.96886e+06,15.9523,5.62158,1335.77,83.735
sba::make_prediction,bundle_adjust,9,0.0234,138,100480,1440,205760,0.00137341,0.000670684,0.00589945,4.29549
sba::clear_full_system_stage_1_kernel,bundle_adjust,7,0.0219,0,20480,241312,230464,0,0,0,0.937042
dtrsv_init_up,ba_solver,10,0.0194,0,29056,640,137856,0,0,0,1.49835
dtrsv_init,ba_solver,10,0.0194,0,27520,640,133664,0,0,0,1.41914
copy_info_kernel,ba_solver,10,0.019,0,24576,320,125952,0,0,0,1.29293
xxtrf4_set_info_ker,ba_solver,10,0.0188,0,24832,320,125824,0,0,0,1.31973
cast_image_kernel,preprocess,2,0.0143,0,530176,3.09606e+06,3.08762e+06,0,0,0,37.0649
sba::clear_full_system_stage_2_kernel,bundle_adjust,7,0.0134,0,18816,672,94016,0,0,0,1.4067
sba::update_poses_kernel,bundle_adjust,5,0.0123,1920,23936,28160,96352,0.0802139,0.0199269,0.15625,1.94792
cub::DeviceMergeSortPartitionKernel,keypoint_sort,2,0.0122,0,12800,3136,48896,0,0,0,1.04987
sba::update_points_kernel,bundle_adjust,5,0.0115,105,83456,8160,143648,0.00125815,0.000730953,0.00913997,7.26462
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,1,0.0114,0,65664,303104,183392,0,0,0,5.7479
cub::DeviceMergeSortMergeKernel,keypoint_sort,2,0.0102,0,132352,576128,369504,0,0,0,13.0063
non_max_suppression_kernel,feature_detect,1,0.01,0,1.05254e+06,5.13792e+06,2.69824e+06,0,0,0,105.423
accumulateGFTT_kernel,feature_detect,1,0.0092,1.37728e+06,1.05395e+06,2.12992e+06,1.11299e+06,1.30678,1.23746,148.927,113.965
downsample_gftt_x8_kernel,feature_detect,1,0.0083,0,1.05306e+06,1.30682e+06,1.31133e+06,0,0,0,127.55
select_features_kernel,feature_detect,1,0.0055,52325,454528,851488,535776,0.115119,0.0976621,9.45177,82.104
filter_maximums_kernel,feature_detect,1,0.0023,0,3456,3520,21088,0,0,0,1.5
