kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,lfmr_gpu,mpki_gpu,dram_bytes_per_launch,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
sba::build_full_system_1_kernel,bundle_adjust,memory-latency,7,0.1954,0.61,0.18,0.22,91.89,81.52,2.38,2.83,2.72,0.1848,162.958,13257.1,13.643,0.077,0.0,0.0,0.0,0.0,0.0,1.699,0.002
lk_track_kernel,tracking,memory-latency,3,0.1762,25.95,25.95,17.08,87.83,55.47,22.4,2.32,1.0,0.4453,42.763,2.17971e+06,4.199,2.532,0.0,0.04,0.489,0.031,0.0,1.669,0.29
sba::reduced_system_stage_1_kernel,bundle_adjust,underutilized,10,0.1203,1.11,0.51,0.52,97.16,74.2,2.08,6.0,6.0,0.258,111.937,13644.8,0.76,0.049,0.002,0.0,0.0,0.001,0.0,1.88,0.0
trsv_lt_exec,ba_solver,memory-latency,10,0.1113,1.5,0.27,1.5,27.27,65.74,7.07,1.5,2.0,0.3426,409.604,36083.2,5.502,0.703,0.0,0.0,0.0,0.006,3.795,2.615,0.0
sba::reduced_system_stage_2_kernel,bundle_adjust,compute-leaning,10,0.0927,25.77,40.09,1.9,40.85,81.42,67.38,2.33,1.01,0.1858,2.384,38054.4,0.63,1.866,0.0,0.266,0.0,0.963,3.221,2.926,2.093
getrf_wo_pivot_params,ba_solver,underutilized,10,0.0897,2.99,0.71,2.99,39.74,65.94,8.14,5.84,1.95,0.3406,282.621,57971.2,0.358,1.559,0.0,0.012,0.0,0.002,0.633,2.215,0.0
trsv_ln_exec,ba_solver,memory-latency,10,0.0877,1.19,0.17,1.19,27.27,63.52,6.97,1.5,2.0,0.3648,406.897,22502.4,8.687,0.754,0.0,0.0,0.0,0.0,2.945,3.006,0.0
gaussian_scaling_kernel,preprocess,mixed,10,0.0793,39.83,44.43,17.03,91.84,48.75,42.57,0.0,4.0,0.5125,26.727,292109,2.324,0.034,0.0,0.014,1.173,1.944,0.0,0.844,2.101
conv_grad_x_kernel,feature_detect,memory-latency,12,0.0601,22.39,20.37,22.31,64.51,58.32,32.14,0.0,4.0,0.4168,109.456,240800,4.895,0.194,0.003,1.99,5.396,0.101,0.413,1.356,0.733
sba::point_term_kernel,bundle_adjust,underutilized,18,0.0584,0.7,0.21,0.7,72.42,72.3,12.64,5.5,0.0,0.277,179.882,4864,0.575,1.769,0.0,0.0,0.0,0.046,4.34,2.738,0.107
sba::build_full_system_2_kernel,bundle_adjust,memory-latency,7,0.0582,7.22,7.22,1.52,47.14,67.78,13.36,6.42,0.0,0.3222,35.979,27318.9,0.264,0.928,0.008,3.245,0.0,0.076,2.75,1.514,0.361
