kernel,tag,warp_accesses,sectors,bytes,pct_kernel_traffic
st_track_with_cache_kernel,local_spill,37509399,74956039,2398593248,94.2
st_track_with_cache_kernel,keyframe_descriptors,145360,3927477,125679264,4.9
st_track_with_cache_kernel,unmapped,45208,652857,20891424,0.8
conv_grad_y_kernel,shared_onchip,440100,7667520,245360640,96.1
conv_grad_y_kernel,pyramid_levels,76866,307314,9834048,3.9
gftt_values_kernel,shared_onchip,781680,5665920,181309440,98.0
gftt_values_kernel,feature_tracks,28800,115200,3686400,2.0
sba::reduced_system_stage_2_kernel,ba_linear_system,1074816,4264704,136470528,96.9
sba::reduced_system_stage_2_kernel,shared_onchip,138240,138240,4423680,3.1
conv_grad_x_kernel,shared_onchip,686664,3745440,119854080,92.4
conv_grad_x_kernel,pyramid_levels,76866,307314,9834048,7.6
sba::reduced_system_stage_12_kernel,ba_linear_system,145980,812622,26003904,55.9
sba::reduced_system_stage_12_kernel,shared_onchip,233568,642312,20553984,44.1
st_build_cache_kernel,keyframe_descriptors,42915,1235562,39537984,93.0
st_build_cache_kernel,unmapped,7521,93195,2982240,7.0
sba::calc_point_update_kernel_xavier_special,shared_onchip,153594,1036878,33180096,87.6
sba::calc_point_update_kernel_xavier_special,ba_linear_system,51198,146370,4683840,12.4
sba::v1T_x_M_T_x_v2_kernel,shared_onchip,153594,1036878,33180096,87.6
sba::v1T_x_M_T_x_v2_kernel,ba_linear_system,51198,146370,4683840,12.4
non_max_suppression_kernel,shared_onchip,208800,975600,31219200,89.4
non_max_suppression_kernel,feature_tracks,28800,115200,3686400,10.6
cub::DeviceMergeSortBlockSortKernel,shared_onchip,46833,1030854,32987328,97.2
cub::DeviceMergeSortBlockSortKernel,feature_tracks,2520,29390,940480,2.8
cast_image_kernel_rgb,pyramid_levels,172800,691200,22118400,75.0
cast_image_kernel_rgb,images_raw,57600,230400,7372800,25.0
sba::reduced_system_stage_1_kernel,local_spill,311426,495690,15862080,72.8
sba::reduced_system_stage_1_kernel,ba_linear_system,7056,185192,5926144,27.2
cub::DeviceMergeSortMergeKernel,shared_onchip,17011,310479,9935328,83.8
cub::DeviceMergeSortMergeKernel,feature_tracks,5280,59674,1909568,16.1
cub::DeviceMergeSortMergeKernel,unmapped,72,497,15904,0.1
cast_depth_kernel,images_raw,57600,230400,7372800,66.7
cast_depth_kernel,depth_pyramid,57600,115200,3686400,33.3
sba::build_full_system_1_kernel,ba_linear_system,9858,197766,6328512,82.1
sba::build_full_system_1_kernel,unmapped,7566,43229,1383328,17.9
sba::evaluate_cost_kernel,ba_linear_system,28155,184413,5901216,95.5
sba::evaluate_cost_kernel,shared_onchip,6039,8130,260160,4.2
sba::evaluate_cost_kernel,unmapped,24,627,20064,0.3
sba::reduced_system_stage_3_kernel,ba_linear_system,44784,177696,5686272,96.9
sba::reduced_system_stage_3_kernel,shared_onchip,5760,5760,184320,3.1
downsample_gftt_x8_kernel,feature_tracks,57600,172800,5529600,100.0
matcher::point_to_point_kernel,shared_onchip,37845,102805,3289760,63.4
matcher::point_to_point_kernel,icp_state,6468,59129,1892128,36.5
matcher::point_to_point_kernel,unmapped,8,188,6016,0.1
gaussian_scaling_kernel,images_raw,38532,153828,4922496,100.0
matcher::photometric_kernel,shared_onchip,38106,103514,3312448,70.8
matcher::photometric_kernel,icp_state,5758,42641,1364512,29.2
sba::point_term_kernel,ba_linear_system,5724,139148,4452736,99.0
sba::point_term_kernel,shared_onchip,1440,1440,46080,1.0
sba::clear_full_system_stage_1_kernel,ba_linear_system,3960,99000,3168000,100.0
select_features_kernel,feature_tracks,4860,81915,2621280,88.1
select_features_kernel,unmapped,1620,11061,353952,11.9
lk_track_kernel,unmapped,13050,52200,1670400,59.2
lk_track_kernel,feature_tracks,28864,35968,1150976,40.8
sba::calc_jacobians_kernel,ba_linear_system,3060,64156,2052992,85.5
sba::calc_jacobians_kernel,unmapped,964,8594,275008,11.5
sba::calc_jacobians_kernel,shared_onchip,747,2267,72544,3.0
sba::build_full_system_2_kernel,shared_onchip,5376,28352,907264,38.9
sba::build_full_system_2_kernel,ba_linear_system,1626,23963,766816,32.9
sba::build_full_system_2_kernel,unmapped,3222,20551,657632,28.2
accumulateGFTT_kernel,shared_onchip,32400,56700,1814400,88.7
accumulateGFTT_kernel,feature_selection_scratch,3600,7200,230400,11.3
trsv_lt_exec,shared_onchip,6600,23895,764640,92.6
trsv_lt_exec,unmapped,690,1710,54720,6.6
trsv_lt_exec,ba_linear_system,45,150,4800,0.6
trsv_lt_exec,untagged_driver,30,60,1920,0.2
getrf_wo_pivot_params,shared_onchip,11475,18420,589440,79.4
getrf_wo_pivot_params,unmapped,585,2940,94080,12.7
getrf_wo_pivot_params,ba_linear_system,300,1830,58560,7.9
filter_maximums_kernel,feature_tracks,2600,11828,378496,100.0
sba::v1T_x_M_x_v2_kernel,shared_onchip,5760,5760,184320,57.1
sba::v1T_x_M_x_v2_kernel,ba_linear_system,1440,4320,138240,42.9
trsv_ln_exec,shared_onchip,2670,6285,201120,76.6
trsv_ln_exec,unmapped,690,1710,54720,20.8
trsv_ln_exec,ba_linear_system,45,150,4800,1.8
trsv_ln_exec,untagged_driver,30,60,1920,0.7
sba::reduce_abs_max_kernel,ba_linear_system,963,3792,121344,88.8
sba::reduce_abs_max_kernel,shared_onchip,480,480,15360,11.2
matcher::lift_kernel,icp_state,129,1778,56896,70.4
matcher::lift_kernel,unmapped,243,746,23872,29.6
sba::calc_pose_update_kernel,ba_linear_system,330,1560,49920,100.0
sba::pose_scaling_term_kernel,ba_linear_system,45,465,14880,66.0
sba::pose_scaling_term_kernel,shared_onchip,240,240,7680,34.0
cub::DeviceMergeSortPartitionKernel,unmapped,136,440,14080,97.3
cub::DeviceMergeSortPartitionKernel,feature_tracks,6,12,384,2.7
sba::make_prediction,ba_linear_system,75,150,4800,100.0
dtrsv_init,untagged_driver,30,60,1920,100.0
dtrsv_init_up,untagged_driver,30,60,1920,100.0
xxtrf4_set_info_ker,ba_linear_system,15,30,960,100.0
copy_info_kernel,ba_linear_system,15,30,960,100.0
sba::clear_full_system_stage_2_kernel,ba_linear_system,2,8,256,100.0
