kernel,n_seq,modal_class,modal_frac,euroc_MH_01_easy,euroc_MH_02_easy,euroc_MH_03_medium,euroc_MH_04_difficult,euroc_MH_05_difficult,euroc_V1_01_easy,euroc_V1_02_medium,euroc_V1_03_difficult,euroc_V2_01_easy,euroc_V2_02_medium,euroc_V2_03_difficult,kitti00,kitti01,kitti02,kitti03,kitti04,kitti05,kitti06,kitti07,kitti08,kitti09,kitti10,tum_fr3_long_office_household,tum_fr3_nostructure_notexture_far,tum_fr3_nostructure_notexture_near_withloop,tum_fr3_nostructure_texture_far,tumvi_corridor1,agreement
accumulateGFTT_kernel,25,G1,1.0,G1,G1,G1,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,,G1,unanimous
cast_depth_kernel,4,G5,1.0,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,,unanimous
cast_image_kernel,12,G3,1.0,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,,,,,,,,,,,,,,,G3,unanimous
cast_image_kernel_rgb,15,G5,1.0,,,,,,,,,,,,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,,unanimous
conv_grad_x_kernel,27,G1,1.0,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,unanimous
conv_grad_y_kernel,27,G1,0.59,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G1,G1,G1,G1,G1,±G1:16/G6:11
copy_info_kernel,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
cub::DeviceMergeSortBlockSortKernel,25,G7,1.0,G7,G7,G7,,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,,G7,unanimous
cub::DeviceMergeSortMergeKernel,26,G2,0.62,G2,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,,G2,±G2:16/G7:10
cub::DeviceMergeSortPartitionKernel,26,G3,0.96,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G4,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,G3,consistent
downsample_gftt_x8_kernel,25,G1,1.0,G1,G1,G1,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,,G1,unanimous
dtrsv_init,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
dtrsv_init_up,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
filter_maximums_kernel,25,G3,1.0,G3,G3,G3,,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,G3,unanimous
gaussian_scaling_kernel,27,G1,1.0,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,unanimous
getrf_wo_pivot_params,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
gftt_values_kernel,24,G3,0.5,G3,G1,G1,,G3,G1,G1,G1,G1,G1,G1,G3,G3,G3,G3,G3,G3,G3,,G3,G3,G3,G1,G1,G1,,G1,±G3:12/G1:12
lk_track_horizontal_kernel,11,G1,1.0,,,,,,,,,,,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,,,,,,unanimous
lk_track_kernel,27,G4,0.85,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G1,G1,G1,G1,consistent
matcher::lift_kernel,4,G2,1.0,,,,,,,,,,,,,,,,,,,,,,,G2,G2,G2,G2,,unanimous
matcher::photometric_kernel,4,G7,1.0,,,,,,,,,,,,,,,,,,,,,,,G7,G7,G7,G7,,unanimous
matcher::point_to_point_kernel,4,G7,1.0,,,,,,,,,,,,,,,,,,,,,,,G7,G7,G7,G7,,unanimous
