kernel,tree_class,kmeans_cluster_k8
lk_track_kernel,G4-latency,5
matcher::photometric_kernel,G7-dependency,7
sba::build_full_system_1_kernel,G2-coalescing,4
matcher::point_to_point_kernel,G7-dependency,7
gaussian_scaling_kernel,G1-bandwidth,6
conv_grad_x_kernel,G1-bandwidth,5
conv_grad_y_kernel,G1-bandwidth,5
cast_image_kernel_rgb,G5-compute,1
sba::reduced_system_stage_1_kernel,G7-dependency,2
sba::build_full_system_2_kernel,G4-latency,4
sba::reduced_system_stage_2_kernel,G3-l2-reuse,1
cast_depth_kernel,G5-compute,3
cast_image_kernel,G3-l2-reuse,1
trsv_lt_exec,G3-l2-reuse,0
trsv_ln_exec,G3-l2-reuse,0
getrf_wo_pivot_params,G7-dependency,7
gftt_values_kernel,G3-l2-reuse,6
sba::calc_jacobians_kernel,G2-coalescing,4
sba::point_term_kernel,G2-coalescing,7
sba::reduce_abs_max_kernel,G3-l2-reuse,0
lk_track_horizontal_kernel,G1-bandwidth,5
sba::reduced_system_stage_12_kernel,G0-nosignal,1
sba::v1T_x_M_T_x_v2_kernel,G1-bandwidth,5
sba::evaluate_cost_kernel,G4-latency,7
sba::clear_full_system_stage_1_kernel,G0-nosignal,2
