kernel,launches,accesses,skipped_overflow,max_footprint_mb,mean_sectors_per_warp_access,pct_warp_accesses_coalesced_le4,mean_active_lanes,sectors_per_32_active_lanes,interlaunch_jaccard
cast_image_kernel_rgb,26,7028398,0,3.277,4.61,43.8,32.0,4.61,0.0
downsample_gftt_x8_kernel,6,526776,0,1.954,3.0,100.0,32.0,3.0,1.0
conv_grad_x_kernel,130,2042040,0,1.877,4.01,98.4,32.0,4.01,0.0
conv_grad_y_kernel,100,1570800,0,1.877,4.01,98.4,32.0,4.01,0.0
gftt_values_kernel,6,353064,0,1.877,4.01,98.7,32.0,4.01,1.0
non_max_suppression_kernel,6,354192,0,1.877,4.03,97.4,32.0,4.03,1.0
st_track_with_cache_kernel,12,10955778,0,1.093,29.99,2.3,32.0,29.99,0.899
select_features_kernel,6,258779,0,0.781,15.3,23.7,32.0,15.3,0.312
sba::build_full_system_1_kernel,46,11061408,0,0.572,13.47,13.7,32.0,13.47,0.988
gaussian_scaling_kernel,104,512096,0,0.469,4.01,97.4,32.0,4.01,0.0
sba::calc_jacobians_kernel,46,3103544,0,0.390,22.35,13.5,32.0,22.35,0.998
sba::reduced_system_stage_12_kernel,42,1928024,0,0.348,5.57,70.0,32.0,5.57,0.998
sba::reduced_system_stage_2_kernel,42,10144512,0,0.332,3.96,99.7,32.0,3.96,0.998
st_build_cache_kernel,6,1453023,0,0.302,27.72,0.6,32.0,27.72,0.852
sba::build_full_system_2_kernel,46,2014454,0,0.218,7.84,41.7,32.0,7.84,0.972
sba::calc_point_update_kernel_xavier_special,42,347410,0,0.177,2.86,99.8,32.0,2.86,0.998
sba::reduced_system_stage_3_kernel,42,422688,0,0.171,3.96,99.7,32.0,3.96,0.998
sba::v1T_x_M_T_x_v2_kernel,42,347410,0,0.171,2.86,99.8,32.0,2.86,0.998
sba::clear_full_system_stage_1_kernel,46,1922850,0,0.166,25.0,0.0,32.0,25.0,0.998
cub::DeviceMergeSortMergeKernel,18,251957,0,0.149,11.38,7.0,32.0,11.38,0.994
cub::DeviceMergeSortBlockSortKernel,6,82026,0,0.149,11.77,2.1,32.0,11.77,0.98
sba::evaluate_cost_kernel,48,1371120,0,0.147,8.18,45.2,32.0,8.18,0.998
filter_maximums_kernel,6,22782,0,0.096,4.55,42.4,32.0,4.55,0.133
sba::reduced_system_stage_1_kernel,42,468762,0,0.054,26.32,0.2,32.0,26.32,0.998
lk_track_kernel,40,246052,0,0.036,2.06,100.0,32.0,2.06,0.008
lk_track_horizontal_kernel,6,54682,0,0.036,2.1,100.0,32.0,2.1,0.997
sba::point_term_kernel,84,330456,0,0.027,24.28,2.2,32.0,24.28,0.999
sba::update_points_kernel,40,156960,0,0.027,24.7,0.3,32.0,24.7,0.998
getrf_wo_pivot_params,42,13188,0,0.007,5.51,43.9,32.0,5.51,1.0
sba::reduce_abs_max_kernel,84,9058,0,0.007,3.92,99.7,32.0,3.92,0.009
sba::v1T_x_M_x_v2_kernel,42,12096,0,0.002,3.0,100.0,32.0,3.0,1.0
cub::DeviceMergeSortPartitionKernel,18,1574,0,0.002,3.66,75.8,32.0,3.66,0.035
trsv_ln_exec,42,5376,0,0.002,2.51,100.0,32.0,2.51,1.0
trsv_lt_exec,42,5376,0,0.002,2.51,100.0,32.0,2.51,1.0
sba::pose_scaling_term_kernel,42,1302,0,0.001,10.33,66.7,32.0,10.33,1.0
sba::update_poses_kernel,40,8800,0,0.001,5.0,0.0,32.0,5.0,1.0
sba::calc_pose_update_kernel,42,4368,0,0.000,4.73,27.3,32.0,4.73,1.0
accumulateGFTT_kernel,6,21252,0,0.000,2.0,100.0,32.0,2.0,1.0
sba::clear_full_system_stage_2_kernel,46,184,0,0.000,4.0,100.0,32.0,4.0,1.0
sba::make_prediction,42,420,0,0.000,2.0,100.0,32.0,2.0,1.0
xxtrf4_set_info_ker,42,84,0,0.000,2.0,100.0,32.0,2.0,1.0
copy_info_kernel,42,84,0,0.000,2.0,100.0,32.0,2.0,1.0
dtrsv_init,42,168,0,0.000,2.0,100.0,32.0,2.0,1.0
dtrsv_init_up,42,168,0,0.000,2.0,100.0,32.0,2.0,1.0
