kernel,hit_at_64KiB,hit_at_128KiB,hit_at_512KiB,hit_at_1024KiB,hit_at_6144KiB,hit_at_12288KiB,hit_at_24576KiB,hit_at_49152KiB
cast_image_kernel_rgb,0.5757,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212
downsample_gftt_x8_kernel,0.3004,0.304,0.3046,0.3046,0.3046,0.3046,0.3046,0.3046
conv_grad_x_kernel,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
conv_grad_y_kernel,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
gftt_values_kernel,0.0031,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
non_max_suppression_kernel,0.0063,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064
st_track_with_cache_kernel,0.9586,0.9631,0.9666,0.9667,0.9667,0.9667,0.9667,0.9667
select_features_kernel,0.2792,0.4257,0.445,0.445,0.445,0.445,0.445,0.445
sba::build_full_system_1_kernel,0.8659,0.9239,0.9272,0.9272,0.9272,0.9272,0.9272,0.9272
gaussian_scaling_kernel,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092
sba::calc_jacobians_kernel,0.7897,0.8221,0.8241,0.8241,0.8241,0.8241,0.8241,0.8241
sba::reduced_system_stage_12_kernel,0.7704,0.7704,0.7704,0.7704,0.7704,0.7704,0.7704,0.7704
sba::reduced_system_stage_2_kernel,0.7233,0.9583,0.9583,0.9583,0.9583,0.9583,0.9583,0.9583
st_build_cache_kernel,0.9666,0.9669,0.9669,0.9669,0.9669,0.9669,0.9669,0.9669
sba::build_full_system_2_kernel,0.8489,0.85,0.85,0.85,0.85,0.85,0.85,0.85
sba::calc_point_update_kernel_xavier_special,0.3497,0.3499,0.3499,0.3499,0.3499,0.3499,0.3499,0.3499
sba::reduced_system_stage_3_kernel,0.4859,0.4859,0.4859,0.4859,0.4859,0.4859,0.4859,0.4859
sba::v1T_x_M_T_x_v2_kernel,0.3745,0.3748,0.3748,0.3748,0.3748,0.3748,0.3748,0.3748
sba::clear_full_system_stage_1_kernel,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797
cub::DeviceMergeSortMergeKernel,0.6749,0.6749,0.6749,0.6749,0.6749,0.6749,0.6749,0.6749
cub::DeviceMergeSortBlockSortKernel,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673
sba::evaluate_cost_kernel,0.7784,0.8429,0.8429,0.8429,0.8429,0.8429,0.8429,0.8429
filter_maximums_kernel,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705
sba::reduced_system_stage_1_kernel,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519
lk_track_kernel,0.8712,0.8712,0.8712,0.8712,0.8712,0.8712,0.8712,0.8712
lk_track_horizontal_kernel,0.8755,0.8755,0.8755,0.8755,0.8755,0.8755,0.8755,0.8755
sba::point_term_kernel,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896
sba::update_points_kernel,0.7897,0.7897,0.7897,0.7897,0.7897,0.7897,0.7897,0.7897
getrf_wo_pivot_params,0.2771,0.2771,0.2771,0.2771,0.2771,0.2771,0.2771,0.2771
sba::reduce_abs_max_kernel,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093
sba::v1T_x_M_x_v2_kernel,0.7326,0.7326,0.7326,0.7326,0.7326,0.7326,0.7326,0.7326
cub::DeviceMergeSortPartitionKernel,0.4009,0.4009,0.4009,0.4009,0.4009,0.4009,0.4009,0.4009
trsv_ln_exec,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859
trsv_lt_exec,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859
sba::pose_scaling_term_kernel,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645
sba::update_poses_kernel,0.9227,0.9227,0.9227,0.9227,0.9227,0.9227,0.9227,0.9227
sba::calc_pose_update_kernel,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846
accumulateGFTT_kernel,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972
sba::clear_full_system_stage_2_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sba::make_prediction,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
xxtrf4_set_info_ker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copy_info_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtrsv_init,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
dtrsv_init_up,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
