kernel,launches,accesses,skipped_overflow,max_footprint_mb,mean_sectors_per_warp_access,pct_warp_accesses_coalesced_le4,mean_active_lanes,sectors_per_32_active_lanes,interlaunch_jaccard
cast_image_kernel_rgb,79,12134400,0,2.150,4.0,100.0,32.0,4.0,0.0
cast_depth_kernel,79,4550400,0,1.843,3.0,100.0,32.0,3.0,0.0
downsample_gftt_x8_kernel,10,576000,0,1.286,3.0,100.0,32.0,3.0,1.0
conv_grad_x_kernel,474,4046301,0,1.229,4.0,100.0,32.0,4.0,0.001
conv_grad_y_kernel,474,4046301,0,1.229,4.0,100.0,32.0,4.0,0.001
gftt_values_kernel,10,384000,0,1.229,4.0,100.0,32.0,4.0,1.0
non_max_suppression_kernel,10,384000,0,1.229,4.0,100.0,32.0,4.0,1.0
select_features_kernel,10,300313,0,0.534,13.9,25.6,32.0,13.9,0.32
st_build_cache_kernel,10,4068795,0,0.465,24.85,4.6,32.0,24.85,0.802
st_track_with_cache_kernel,12,2718802,0,0.464,23.39,6.0,32.0,23.39,0.669
sba::build_full_system_1_kernel,10,1347531,0,0.425,13.53,17.4,32.0,13.53,0.86
sba::reduced_system_stage_12_kernel,70,3648792,0,0.397,5.57,70.0,32.0,5.57,0.997
sba::reduced_system_stage_2_kernel,70,19160064,0,0.378,3.96,99.7,32.0,3.96,0.997
gaussian_scaling_kernel,790,2025402,0,0.307,3.99,100.0,32.0,3.99,0.001
sba::calc_jacobians_kernel,10,397614,0,0.231,15.86,19.2,32.0,15.86,0.99
sba::calc_point_update_kernel_xavier_special,70,657300,0,0.202,2.86,99.8,32.0,2.86,0.997
sba::reduced_system_stage_3_kernel,70,798336,0,0.195,3.96,99.7,32.0,3.96,0.997
sba::v1T_x_M_T_x_v2_kernel,70,657300,0,0.195,2.86,99.8,32.0,2.86,0.997
sba::clear_full_system_stage_1_kernel,10,474225,0,0.189,25.0,0.0,32.0,25.0,0.981
sba::build_full_system_2_kernel,10,253521,0,0.124,7.48,52.1,32.0,7.48,0.794
cub::DeviceMergeSortMergeKernel,20,193369,0,0.102,11.21,8.2,32.0,11.21,0.997
sba::evaluate_cost_kernel,80,1025604,0,0.099,6.97,40.1,32.0,6.97,0.999
filter_maximums_kernel,10,39692,0,0.092,4.55,42.5,32.0,4.55,0.106
sba::reduced_system_stage_1_kernel,70,886802,0,0.062,26.26,0.7,32.0,26.26,0.997
cub::DeviceMergeSortBlockSortKernel,10,94480,0,0.051,11.65,3.1,32.0,11.65,0.994
lk_track_kernel,158,946848,0,0.036,2.1,100.0,32.0,2.1,0.009
sba::point_term_kernel,140,625016,0,0.031,24.28,2.4,32.0,24.28,0.999
matcher::lift_kernel,10,14544,0,0.016,7.12,49.9,32.0,7.12,0.997
sba::reduce_abs_max_kernel,140,17052,0,0.008,3.93,99.7,32.0,3.93,0.008
getrf_wo_pivot_params,70,22260,0,0.007,5.39,45.8,32.0,5.39,1.0
matcher::photometric_kernel,1285,517590,0,0.007,7.75,72.3,32.0,7.75,0.993
matcher::point_to_point_kernel,1285,727978,0,0.007,9.56,63.6,32.0,9.56,0.993
sba::v1T_x_M_x_v2_kernel,70,20160,0,0.002,3.0,100.0,32.0,3.0,1.0
cub::DeviceMergeSortPartitionKernel,20,1472,0,0.002,3.16,100.0,32.0,3.16,0.036
trsv_ln_exec,70,8960,0,0.002,2.51,100.0,32.0,2.51,1.0
trsv_lt_exec,70,8960,0,0.002,2.51,100.0,32.0,2.51,1.0
sba::pose_scaling_term_kernel,70,2170,0,0.001,10.33,66.7,32.0,10.33,1.0
sba::calc_pose_update_kernel,70,7280,0,0.000,4.73,27.3,32.0,4.73,1.0
accumulateGFTT_kernel,10,24000,0,0.000,2.0,100.0,32.0,2.0,1.0
sba::clear_full_system_stage_2_kernel,10,40,0,0.000,4.0,100.0,32.0,4.0,1.0
sba::make_prediction,70,700,0,0.000,2.0,100.0,32.0,2.0,1.0
xxtrf4_set_info_ker,70,140,0,0.000,2.0,100.0,32.0,2.0,1.0
copy_info_kernel,70,140,0,0.000,2.0,100.0,32.0,2.0,1.0
dtrsv_init,70,280,0,0.000,2.0,100.0,32.0,2.0,1.0
dtrsv_init_up,70,280,0,0.000,2.0,100.0,32.0,2.0,1.0
