kernel,hit_at_64KiB,hit_at_128KiB,hit_at_512KiB,hit_at_1024KiB,hit_at_6144KiB,hit_at_12288KiB,hit_at_24576KiB,hit_at_49152KiB
cast_image_kernel_rgb,0.5062,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625
cast_depth_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downsample_gftt_x8_kernel,0.3013,0.3021,0.3021,0.3021,0.3021,0.3021,0.3021,0.3021
conv_grad_x_kernel,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
conv_grad_y_kernel,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
gftt_values_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non_max_suppression_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
select_features_kernel,0.357,0.4488,0.4522,0.4522,0.4522,0.4522,0.4522,0.4522
st_build_cache_kernel,0.9642,0.967,0.9671,0.9671,0.9671,0.9671,0.9671,0.9671
st_track_with_cache_kernel,0.9642,0.9657,0.9666,0.9666,0.9666,0.9666,0.9666,0.9666
sba::build_full_system_1_kernel,0.8482,0.9007,0.9038,0.9038,0.9038,0.9038,0.9038,0.9038
sba::reduced_system_stage_12_kernel,0.7705,0.7705,0.7705,0.7705,0.7705,0.7705,0.7705,0.7705
sba::reduced_system_stage_2_kernel,0.6719,0.9583,0.9583,0.9583,0.9583,0.9583,0.9583,0.9583
gaussian_scaling_kernel,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
sba::calc_jacobians_kernel,0.8024,0.8237,0.8237,0.8237,0.8237,0.8237,0.8237,0.8237
sba::calc_point_update_kernel_xavier_special,0.3498,0.35,0.35,0.35,0.35,0.35,0.35,0.35
sba::reduced_system_stage_3_kernel,0.4851,0.4851,0.4851,0.4851,0.4851,0.4851,0.4851,0.4851
sba::v1T_x_M_T_x_v2_kernel,0.3746,0.3749,0.3749,0.3749,0.3749,0.3749,0.3749,0.3749
sba::clear_full_system_stage_1_kernel,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797
sba::build_full_system_2_kernel,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501
cub::DeviceMergeSortMergeKernel,0.6749,0.6749,0.6749,0.6749,0.6749,0.6749,0.6749,0.6749
sba::evaluate_cost_kernel,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766
filter_maximums_kernel,0.3103,0.3103,0.3103,0.3103,0.3103,0.3103,0.3103,0.3103
sba::reduced_system_stage_1_kernel,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519
cub::DeviceMergeSortBlockSortKernel,0.8337,0.8337,0.8337,0.8337,0.8337,0.8337,0.8337,0.8337
lk_track_kernel,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783
sba::point_term_kernel,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896,0.7896
matcher::lift_kernel,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652
sba::reduce_abs_max_kernel,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
getrf_wo_pivot_params,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283
matcher::photometric_kernel,0.5778,0.5778,0.5778,0.5778,0.5778,0.5778,0.5778,0.5778
matcher::point_to_point_kernel,0.6998,0.6998,0.6998,0.6998,0.6998,0.6998,0.6998,0.6998
sba::v1T_x_M_x_v2_kernel,0.7326,0.7326,0.7326,0.7326,0.7326,0.7326,0.7326,0.7326
cub::DeviceMergeSortPartitionKernel,0.4096,0.4096,0.4096,0.4096,0.4096,0.4096,0.4096,0.4096
trsv_ln_exec,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859
trsv_lt_exec,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859,0.5859
sba::pose_scaling_term_kernel,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645
sba::calc_pose_update_kernel,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846,0.8846
accumulateGFTT_kernel,0.9958,0.9958,0.9958,0.9958,0.9958,0.9958,0.9958,0.9958
sba::clear_full_system_stage_2_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sba::make_prediction,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
xxtrf4_set_info_ker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copy_info_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtrsv_init,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
dtrsv_init_up,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
