kernel,sequence,tag,warp_accesses,sectors,pct_kernel_traffic
accumulateGFTT_kernel,euroc_MH_01_easy,shared_onchip,116640,204120,88.9
accumulateGFTT_kernel,euroc_MH_01_easy,feature_selection_scratch,12690,25380,11.1
accumulateGFTT_kernel,euroc_MH_02_easy,shared_onchip,38880,68040,88.9
accumulateGFTT_kernel,euroc_MH_02_easy,feature_selection_scratch,4230,8460,11.1
accumulateGFTT_kernel,euroc_MH_03_medium,shared_onchip,90720,158760,88.9
accumulateGFTT_kernel,euroc_MH_03_medium,feature_selection_scratch,9870,19740,11.1
accumulateGFTT_kernel,euroc_MH_04_difficult,shared_onchip,12960,22680,88.9
accumulateGFTT_kernel,euroc_MH_04_difficult,feature_selection_scratch,1410,2820,11.1
accumulateGFTT_kernel,euroc_MH_05_difficult,shared_onchip,77760,136080,88.9
accumulateGFTT_kernel,euroc_MH_05_difficult,feature_selection_scratch,8460,16920,11.1
accumulateGFTT_kernel,euroc_V1_01_easy,shared_onchip,25920,45360,88.9
accumulateGFTT_kernel,euroc_V1_01_easy,feature_selection_scratch,2820,5640,11.1
accumulateGFTT_kernel,euroc_V1_02_medium,shared_onchip,12960,22680,88.9
accumulateGFTT_kernel,euroc_V1_02_medium,feature_selection_scratch,1410,2820,11.1
accumulateGFTT_kernel,euroc_V1_03_difficult,shared_onchip,25920,45360,88.9
accumulateGFTT_kernel,euroc_V1_03_difficult,feature_selection_scratch,2820,5640,11.1
accumulateGFTT_kernel,euroc_V2_01_easy,shared_onchip,25920,45360,88.9
accumulateGFTT_kernel,euroc_V2_01_easy,feature_selection_scratch,2820,5640,11.1
accumulateGFTT_kernel,euroc_V2_02_medium,shared_onchip,64800,113400,88.9
accumulateGFTT_kernel,euroc_V2_02_medium,feature_selection_scratch,7050,14100,11.1
accumulateGFTT_kernel,euroc_V2_03_difficult,shared_onchip,25920,45360,88.9
accumulateGFTT_kernel,euroc_V2_03_difficult,feature_selection_scratch,2820,5640,11.1
accumulateGFTT_kernel,kitti00,shared_onchip,808704,1415232,89.3
accumulateGFTT_kernel,kitti00,feature_selection_scratch,85008,170016,10.7
accumulateGFTT_kernel,kitti01,shared_onchip,33696,58968,89.3
accumulateGFTT_kernel,kitti01,feature_selection_scratch,3542,7084,10.7
accumulateGFTT_kernel,kitti02,shared_onchip,16848,29484,89.3
accumulateGFTT_kernel,kitti02,feature_selection_scratch,1771,3542,10.7
accumulateGFTT_kernel,kitti03,shared_onchip,825552,1444716,89.3
accumulateGFTT_kernel,kitti03,feature_selection_scratch,86779,173558,10.7
accumulateGFTT_kernel,kitti04,shared_onchip,16848,29484,89.4
accumulateGFTT_kernel,kitti04,feature_selection_scratch,1748,3496,10.6
accumulateGFTT_kernel,kitti05,shared_onchip,16848,29484,89.4
accumulateGFTT_kernel,kitti05,feature_selection_scratch,1748,3496,10.6
accumulateGFTT_kernel,kitti06,shared_onchip,185328,324324,89.4
accumulateGFTT_kernel,kitti06,feature_selection_scratch,19228,38456,10.6
accumulateGFTT_kernel,kitti07,shared_onchip,117936,206388,89.4
accumulateGFTT_kernel,kitti07,feature_selection_scratch,12236,24472,10.6
accumulateGFTT_kernel,kitti08,shared_onchip,16848,29484,89.4
accumulateGFTT_kernel,kitti08,feature_selection_scratch,1748,3496,10.6
accumulateGFTT_kernel,kitti09,shared_onchip,84240,147420,89.4
accumulateGFTT_kernel,kitti09,feature_selection_scratch,8740,17480,10.6
accumulateGFTT_kernel,kitti10,shared_onchip,185328,324324,89.4
accumulateGFTT_kernel,kitti10,feature_selection_scratch,19228,38456,10.6
accumulateGFTT_kernel,tum_fr3_long_office_household,shared_onchip,21600,37800,88.7
accumulateGFTT_kernel,tum_fr3_long_office_household,feature_selection_scratch,2400,4800,11.3
accumulateGFTT_kernel,tum_fr3_nostructure_notexture_far,shared_onchip,32400,56700,88.7
accumulateGFTT_kernel,tum_fr3_nostructure_notexture_far,feature_selection_scratch,3600,7200,11.3
accumulateGFTT_kernel,tum_fr3_nostructure_notexture_near_withloop,shared_onchip,108000,189000,88.7
accumulateGFTT_kernel,tum_fr3_nostructure_notexture_near_withloop,feature_selection_scratch,12000,24000,11.3
accumulateGFTT_kernel,tum_fr3_nostructure_texture_far,shared_onchip,32400,56700,88.7
accumulateGFTT_kernel,tum_fr3_nostructure_texture_far,feature_selection_scratch,3600,7200,11.3
accumulateGFTT_kernel,tumvi_corridor1,shared_onchip,55296,96768,88.7
accumulateGFTT_kernel,tumvi_corridor1,feature_selection_scratch,6144,12288,11.3
cast_depth_kernel,tum_fr3_long_office_household,images_raw,998400,3993600,66.7
cast_depth_kernel,tum_fr3_long_office_household,depth_pyramid,998400,1996800,33.3
cast_depth_kernel,tum_fr3_nostructure_notexture_far,images_raw,883200,3532800,66.7
cast_depth_kernel,tum_fr3_nostructure_notexture_far,depth_pyramid,883200,1766400,33.3
cast_depth_kernel,tum_fr3_nostructure_notexture_near_withloop,images_raw,1200000,4800000,66.7
cast_depth_kernel,tum_fr3_nostructure_notexture_near_withloop,depth_pyramid,1200000,2400000,33.3
cast_depth_kernel,tum_fr3_nostructure_texture_far,images_raw,777600,3110400,66.7
cast_depth_kernel,tum_fr3_nostructure_texture_far,depth_pyramid,777600,1555200,33.3
cast_image_kernel,euroc_MH_01_easy,images_raw,1116720,4466880,66.7
cast_image_kernel,euroc_MH_01_easy,pyramid_levels,1116720,2233440,33.3
cast_image_kernel,euroc_MH_02_easy,images_raw,1353600,5414400,66.7
cast_image_kernel,euroc_MH_02_easy,pyramid_levels,1353600,2707200,33.3
cast_image_kernel,euroc_MH_03_medium,images_raw,1601760,6407040,66.7
cast_image_kernel,euroc_MH_03_medium,pyramid_levels,1601760,3203520,33.3
cast_image_kernel,euroc_MH_04_difficult,images_raw,1003920,4015680,66.7
cast_image_kernel,euroc_MH_04_difficult,pyramid_levels,1003920,2007840,33.3
cast_image_kernel,euroc_MH_05_difficult,images_raw,1240800,4963200,66.7
cast_image_kernel,euroc_MH_05_difficult,pyramid_levels,1240800,2481600,33.3
cast_image_kernel,euroc_V1_01_easy,images_raw,1669440,6677760,66.7
cast_image_kernel,euroc_V1_01_easy,pyramid_levels,1669440,3338880,33.3
cast_image_kernel,euroc_V1_02_medium,images_raw,1195680,4782720,66.7
cast_image_kernel,euroc_V1_02_medium,pyramid_levels,1195680,2391360,33.3
cast_image_kernel,euroc_V1_03_difficult,images_raw,1646880,6587520,66.7
cast_image_kernel,euroc_V1_03_difficult,pyramid_levels,1646880,3293760,33.3
cast_image_kernel,euroc_V2_01_easy,images_raw,1601760,6407040,66.7
cast_image_kernel,euroc_V2_01_easy,pyramid_levels,1601760,3203520,33.3
cast_image_kernel,euroc_V2_02_medium,images_raw,1319760,5279040,66.7
cast_image_kernel,euroc_V2_02_medium,pyramid_levels,1319760,2639520,33.3
cast_image_kernel,euroc_V2_03_difficult,images_raw,1128000,4512000,66.7
cast_image_kernel,euroc_V2_03_difficult,pyramid_levels,1128000,2256000,33.3
cast_image_kernel,tumvi_corridor1,images_raw,2499760,9999040,66.7
cast_image_kernel,tumvi_corridor1,pyramid_levels,2500240,5000480,33.3
cast_image_kernel_rgb,kitti00,pyramid_levels,3750328,18028657,78.2
cast_image_kernel_rgb,kitti00,images_raw,1249672,5014708,21.8
cast_image_kernel_rgb,kitti01,pyramid_levels,3750319,18028610,78.2
cast_image_kernel_rgb,kitti01,images_raw,1249681,5014744,21.8
cast_image_kernel_rgb,kitti02,pyramid_levels,3750251,18028289,78.2
cast_image_kernel_rgb,kitti02,images_raw,1249749,5015016,21.8
cast_image_kernel_rgb,kitti03,pyramid_levels,3750345,17937945,78.2
cast_image_kernel_rgb,kitti03,images_raw,1249655,5007925,21.8
cast_image_kernel_rgb,kitti04,pyramid_levels,3750313,17954841,78.2
cast_image_kernel_rgb,kitti04,images_raw,1249687,5014971,21.8
cast_image_kernel_rgb,kitti05,pyramid_levels,3750356,17955055,78.2
cast_image_kernel_rgb,kitti05,images_raw,1249644,5014799,21.8
cast_image_kernel_rgb,kitti06,pyramid_levels,3750351,17955032,78.2
cast_image_kernel_rgb,kitti06,images_raw,1249649,5014819,21.8
cast_image_kernel_rgb,kitti07,pyramid_levels,3750354,17955044,78.2
cast_image_kernel_rgb,kitti07,images_raw,1249646,5014807,21.8
cast_image_kernel_rgb,kitti08,pyramid_levels,3750323,17954897,78.2
cast_image_kernel_rgb,kitti08,images_raw,1249677,5014931,21.8
cast_image_kernel_rgb,kitti09,pyramid_levels,3750392,17955217,78.2
cast_image_kernel_rgb,kitti09,images_raw,1249608,5014655,21.8
cast_image_kernel_rgb,kitti10,pyramid_levels,3750273,17954652,78.2
cast_image_kernel_rgb,kitti10,images_raw,1249727,5015131,21.8
cast_image_kernel_rgb,tum_fr3_long_office_household,pyramid_levels,2995200,11980800,75.0
cast_image_kernel_rgb,tum_fr3_long_office_household,images_raw,998400,3993600,25.0
cast_image_kernel_rgb,tum_fr3_nostructure_notexture_far,pyramid_levels,2678400,10713600,75.0
cast_image_kernel_rgb,tum_fr3_nostructure_notexture_far,images_raw,892800,3571200,25.0
cast_image_kernel_rgb,tum_fr3_nostructure_notexture_near_withloop,pyramid_levels,3571200,14284800,75.0
cast_image_kernel_rgb,tum_fr3_nostructure_notexture_near_withloop,images_raw,1190400,4761600,25.0
cast_image_kernel_rgb,tum_fr3_nostructure_texture_far,pyramid_levels,2304000,9216000,75.0
cast_image_kernel_rgb,tum_fr3_nostructure_texture_far,images_raw,768000,3072000,25.0
conv_grad_x_kernel,euroc_MH_01_easy,shared_onchip,4482564,24444834,92.2
conv_grad_x_kernel,euroc_MH_01_easy,pyramid_levels,517436,2068894,7.8
conv_grad_x_kernel,euroc_MH_02_easy,shared_onchip,4483307,24446958,92.2
conv_grad_x_kernel,euroc_MH_02_easy,pyramid_levels,516693,2066017,7.8
conv_grad_x_kernel,euroc_MH_03_medium,shared_onchip,4482589,24445074,92.2
conv_grad_x_kernel,euroc_MH_03_medium,pyramid_levels,517411,2068794,7.8
conv_grad_x_kernel,euroc_MH_04_difficult,shared_onchip,131868,719280,92.2
conv_grad_x_kernel,euroc_MH_04_difficult,pyramid_levels,15182,60708,7.8
conv_grad_x_kernel,euroc_MH_05_difficult,shared_onchip,4482617,24445184,92.2
conv_grad_x_kernel,euroc_MH_05_difficult,pyramid_levels,517383,2068682,7.8
conv_grad_x_kernel,euroc_V1_01_easy,shared_onchip,4482635,24445232,92.2
conv_grad_x_kernel,euroc_V1_01_easy,pyramid_levels,517365,2068610,7.8
conv_grad_x_kernel,euroc_V1_02_medium,shared_onchip,260568,1421280,92.2
conv_grad_x_kernel,euroc_V1_02_medium,pyramid_levels,30242,120918,7.8
conv_grad_x_kernel,euroc_V1_03_difficult,shared_onchip,4482640,24445276,92.2
conv_grad_x_kernel,euroc_V1_03_difficult,pyramid_levels,517360,2068590,7.8
conv_grad_x_kernel,euroc_V2_01_easy,shared_onchip,4482651,24445434,92.2
conv_grad_x_kernel,euroc_V2_01_easy,pyramid_levels,517349,2068546,7.8
conv_grad_x_kernel,euroc_V2_02_medium,shared_onchip,4482637,24445308,92.2
conv_grad_x_kernel,euroc_V2_02_medium,pyramid_levels,517363,2068602,7.8
conv_grad_x_kernel,euroc_V2_03_difficult,shared_onchip,781704,4263840,92.2
conv_grad_x_kernel,euroc_V2_03_difficult,pyramid_levels,90726,362754,7.8
conv_grad_x_kernel,kitti00,shared_onchip,4481818,24439648,92.2
conv_grad_x_kernel,kitti00,pyramid_levels,518182,2079598,7.8
conv_grad_x_kernel,kitti01,shared_onchip,842820,4597200,92.1
conv_grad_x_kernel,kitti01,pyramid_levels,97850,392700,7.9
conv_grad_x_kernel,kitti02,shared_onchip,505692,2758320,92.1
conv_grad_x_kernel,kitti02,pyramid_levels,58710,235620,7.9
conv_grad_x_kernel,kitti03,shared_onchip,4481785,24439510,92.2
conv_grad_x_kernel,kitti03,pyramid_levels,518215,2077676,7.8
conv_grad_x_kernel,kitti04,shared_onchip,836220,4561200,92.3
conv_grad_x_kernel,kitti04,pyramid_levels,95560,382295,7.7
conv_grad_x_kernel,kitti05,shared_onchip,668976,3648960,92.3
conv_grad_x_kernel,kitti05,pyramid_levels,76448,305836,7.7
conv_grad_x_kernel,kitti06,shared_onchip,4488478,24478976,92.3
conv_grad_x_kernel,kitti06,pyramid_levels,511522,2046557,7.7
conv_grad_x_kernel,kitti07,shared_onchip,4488475,24479022,92.3
conv_grad_x_kernel,kitti07,pyramid_levels,511525,2046570,7.7
conv_grad_x_kernel,kitti08,shared_onchip,836220,4561200,92.3
conv_grad_x_kernel,kitti08,pyramid_levels,95560,382295,7.7
conv_grad_x_kernel,kitti09,shared_onchip,3512124,19157040,92.3
conv_grad_x_kernel,kitti09,pyramid_levels,401352,1605639,7.7
conv_grad_x_kernel,kitti10,shared_onchip,4488478,24479030,92.3
conv_grad_x_kernel,kitti10,pyramid_levels,511522,2046558,7.7
conv_grad_x_kernel,tum_fr3_long_office_household,shared_onchip,4499452,24533458,92.5
conv_grad_x_kernel,tum_fr3_long_office_household,pyramid_levels,500548,2001217,7.5
conv_grad_x_kernel,tum_fr3_nostructure_notexture_far,shared_onchip,343332,1872720,92.4
conv_grad_x_kernel,tum_fr3_nostructure_notexture_far,pyramid_levels,38433,153657,7.6
conv_grad_x_kernel,tum_fr3_nostructure_notexture_near_withloop,shared_onchip,2174436,11860560,92.4
conv_grad_x_kernel,tum_fr3_nostructure_notexture_near_withloop,pyramid_levels,243409,973161,7.6
conv_grad_x_kernel,tum_fr3_nostructure_texture_far,shared_onchip,4005540,21848400,92.4
conv_grad_x_kernel,tum_fr3_nostructure_texture_far,pyramid_levels,448385,1792665,7.6
conv_grad_x_kernel,tumvi_corridor1,shared_onchip,1108800,6048000,92.0
conv_grad_x_kernel,tumvi_corridor1,pyramid_levels,131040,524160,8.0
conv_grad_y_kernel,euroc_MH_01_easy,shared_onchip,4258797,74184320,96.2
conv_grad_y_kernel,euroc_MH_01_easy,pyramid_levels,741203,2963587,3.8
conv_grad_y_kernel,euroc_MH_02_easy,shared_onchip,4258110,74173040,96.2
conv_grad_y_kernel,euroc_MH_02_easy,pyramid_levels,741890,2966430,3.8
conv_grad_y_kernel,euroc_MH_03_medium,shared_onchip,4258819,74184720,96.2
conv_grad_y_kernel,euroc_MH_03_medium,pyramid_levels,741181,2963499,3.8
conv_grad_y_kernel,euroc_MH_04_difficult,shared_onchip,1530,26656,96.4
conv_grad_y_kernel,euroc_MH_04_difficult,pyramid_levels,241,999,3.6
conv_grad_y_kernel,euroc_MH_05_difficult,shared_onchip,4258793,74184272,96.2
conv_grad_y_kernel,euroc_MH_05_difficult,pyramid_levels,741207,2963603,3.8
conv_grad_y_kernel,euroc_V1_01_easy,shared_onchip,4258822,74184752,96.2
conv_grad_y_kernel,euroc_V1_01_easy,pyramid_levels,741178,2963487,3.8
