kernel,n_sequences,n_with_global,modal_top_global_tag,agreement_pct,med_shared_pct,med_local_spill_pct,med_global_pct
accumulateGFTT_kernel,27,27,feature_selection_scratch,100.0,88.9,0.0,11.1
cast_depth_kernel,4,4,images_raw,100.0,0.0,0.0,100.0
cast_image_kernel,12,12,images_raw,100.0,0.0,0.0,100.0
cast_image_kernel_rgb,15,15,pyramid_levels,100.0,0.0,0.0,100.0
conv_grad_x_kernel,27,27,pyramid_levels,100.0,92.2,0.0,7.8
conv_grad_y_kernel,27,27,pyramid_levels,100.0,96.2,0.0,3.8
copy_info_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
cub::DeviceMergeSortBlockSortKernel,26,26,feature_tracks,100.0,97.1,0.0,2.9
cub::DeviceMergeSortMergeKernel,26,26,feature_tracks,100.0,83.1,0.0,16.9
cub::DeviceMergeSortPartitionKernel,26,26,unmapped,100.0,0.0,0.0,100.0
downsample_gftt_x8_kernel,27,27,feature_tracks,100.0,0.0,0.0,100.0
dtrsv_init,27,27,untagged_driver,100.0,0.0,0.0,100.0
dtrsv_init_up,27,27,untagged_driver,100.0,0.0,0.0,100.0
filter_maximums_kernel,27,27,feature_tracks,100.0,0.0,0.0,100.0
gaussian_scaling_kernel,27,27,images_raw,100.0,0.0,0.0,100.0
getrf_wo_pivot_params,27,27,unmapped,100.0,79.6,0.0,20.4
gftt_values_kernel,27,27,feature_tracks,100.0,98.0,0.0,2.0
lk_track_horizontal_kernel,11,11,unmapped,100.0,0.0,0.0,100.0
lk_track_kernel,27,27,unmapped,100.0,0.0,0.0,100.0
matcher::lift_kernel,4,4,icp_state,100.0,0.0,0.0,100.0
matcher::photometric_kernel,4,4,icp_state,100.0,71.8,0.0,28.2
matcher::point_to_point_kernel,4,4,icp_state,100.0,64.6,0.0,35.4
non_max_suppression_kernel,27,27,feature_tracks,100.0,89.5,0.0,10.5
sba::build_full_system_1_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::build_full_system_2_kernel,27,27,unmapped,66.7,26.3,0.0,73.7
sba::calc_jacobians_kernel,27,27,ba_linear_system,100.0,3.8,0.0,96.2
sba::calc_point_update_kernel_xavier_special,27,27,ba_linear_system,100.0,87.6,0.0,12.4
sba::calc_pose_update_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::clear_full_system_stage_1_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::clear_full_system_stage_2_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::evaluate_cost_kernel,27,27,ba_linear_system,100.0,4.2,0.0,95.8
sba::make_prediction,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::point_term_kernel,27,27,ba_linear_system,100.0,1.2,0.0,98.8
sba::pose_scaling_term_kernel,27,27,ba_linear_system,100.0,34.0,0.0,66.0
sba::reduce_abs_max_kernel,27,27,ba_linear_system,100.0,14.8,0.0,85.2
sba::reduced_system_stage_12_kernel,27,27,ba_linear_system,100.0,44.1,0.0,55.9
sba::reduced_system_stage_1_kernel,27,27,ba_linear_system,100.0,0.0,72.2,27.8
sba::reduced_system_stage_2_kernel,27,27,ba_linear_system,100.0,3.9,0.0,96.1
sba::reduced_system_stage_3_kernel,27,27,ba_linear_system,100.0,3.9,0.0,96.1
sba::update_points_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::update_poses_kernel,27,27,ba_linear_system,100.0,0.0,0.0,100.0
sba::v1T_x_M_T_x_v2_kernel,27,27,ba_linear_system,100.0,87.6,0.0,12.4
sba::v1T_x_M_x_v2_kernel,27,27,ba_linear_system,100.0,57.1,0.0,42.9
select_features_kernel,27,27,feature_tracks,100.0,0.0,0.0,100.0
st_build_cache_kernel,27,27,keyframe_descriptors,100.0,0.0,0.0,100.0
st_track_with_cache_kernel,25,25,keyframe_descriptors,100.0,0.0,92.6,7.4
trsv_ln_exec,27,27,unmapped,100.0,76.6,0.0,23.4
trsv_lt_exec,27,27,unmapped,100.0,92.6,0.0,7.4
xxtrf4_set_info_ker,27,27,ba_linear_system,100.0,0.0,0.0,100.0
