Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.9,1332902590,485,2748252.8,2836810.0,3136,6837881,1846024.3,"cuvslam::cuda::st_track_with_cache_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::PointCacheData<float, (int)9> *, cuvslam::cuda::TrackData *, int, unsigned int, unsigned int)"
9.0,293914562,6202,47390.3,47296.0,40288,56000,2142.0,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
4.7,152832793,13522,11302.5,10720.0,4480,17440,1787.3,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
4.1,133326004,20680,6447.1,3520.0,3296,16608,5013.0,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
3.5,113271585,13522,8376.8,8384.0,2272,8736,226.4,"cuvslam::cuda::sba::reduced_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, float)"
3.5,112608208,13522,8327.8,8256.0,5056,8833,229.5,"void trsv_lt_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
3.2,103990754,13522,7690.5,7808.0,6752,8256,384.6,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128, (int)1, (int)32, (int)32, (int)32, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
2.5,82027993,13522,6066.3,6048.0,4288,6497,202.7,"void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
2.5,80290096,24816,3235.4,2368.0,2112,7200,1771.2,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
2.4,78582158,5663,13876.4,13504.0,3552,29984,3694.4,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
1.8,59555243,27044,2202.2,2208.0,2144,2272,23.5,"cuvslam::cuda::sba::point_term_kernel(float3 *, cuvslam::cuda::Mat<float, (int)3, (int)3> *, int, bool, float *)"
1.7,53850109,27044,1991.2,1984.0,1920,2336,31.0,"cuvslam::cuda::sba::reduce_abs_max_kernel(float *, unsigned long, float *)"
1.6,51251743,15474,3312.1,3264.0,3104,3968,131.9,"cuvslam::cuda::sba::evaluate_cost_kernel(float *, int *, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, cuvslam::cuda::sba::GPUParameterUpdateMeta, float)"
1.4,45883270,2068,22187.3,22176.0,21952,23297,81.0,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
1.4,44696399,12408,3602.2,2400.0,2240,8672,2271.1,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
1.1,37299344,5663,6586.5,6592.0,5952,6720,91.3,"cuvslam::cuda::sba::build_full_system_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
1.1,35310228,13522,2611.3,2912.0,1824,3040,442.2,"cuvslam::cuda::sba::calc_pose_update_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::sba::float6 *, int)"
1.0,31697053,13522,2344.1,2336.0,2240,2401,21.0,"cuvslam::cuda::sba::v1T_x_M_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *, bool)"
0.9,30196925,13522,2233.2,2240.0,2144,2304,20.4,"cuvslam::cuda::sba::reduced_system_stage_3_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int)"
0.9,29555816,13522,2185.8,2176.0,2144,2240,19.0,"cuvslam::cuda::sba::pose_scaling_term_kernel(float *, float *, unsigned long, int, float *)"
0.8,27552819,13522,2037.6,2048.0,1920,2176,39.6,"cuvslam::cuda::sba::v1T_x_M_T_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *)"
0.8,24439869,13522,1807.4,1792.0,1728,2304,42.7,"cuvslam::cuda::sba::reduced_system_stage_12_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
0.7,24301913,13522,1797.2,1792.0,1696,2016,37.0,"cuvslam::cuda::sba::calc_point_update_kernel_xavier_special(float *, float *, unsigned long, float *, float *, int, int)"
0.7,23947596,4136,5790.0,5792.0,5536,6304,40.6,"cuvslam::cuda::cast_image_kernel(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
0.7,21693892,2068,10490.3,10496.0,10272,10816,71.0,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::policy_hub<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::vsmem_t)"
0.7,21395353,13522,1582.3,1600.0,1472,1664,49.6,"cuvslam::cuda::sba::make_prediction(float, float, float *, float *, float *, float *, float *)"
0.6,19737424,1595,12374.6,12032.0,4416,26592,1653.8,"cuvslam::cuda::st_build_cache_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, cuvslam::cuda::PointCacheData<float, (int)9> *, unsigned long)"
0.5,17070748,13522,1262.4,1248.0,1216,1312,17.7,"xxtrf4_set_info_ker(int, int *)"
0.5,17065121,13522,1262.0,1248.0,1216,1312,18.6,"dtrsv_init_up(int *, int)"
0.5,17056419,13522,1261.4,1248.0,1216,1312,17.6,"copy_info_kernel(int, int *)"
0.5,17047228,13522,1260.7,1248.0,1216,1312,18.9,dtrsv_init(int *)
