variant	mode	plain_APE_m	nsys_APE_m	delta_m	matched	status
euroc_MH_01_easy_inertial_slam__base	Inertial/slam	0.6891	0.6891	0	3639	OK
euroc_MH_01_easy_inertial_slam__denoising	Inertial/slam	0.0261	0.0314	0.0053	3639	OK
euroc_MH_01_easy_inertial_slam__landmarks_export	Inertial/slam	0.6891	0.6891	0	3639	OK
euroc_MH_01_easy_inertial_slam__no_motion_model	Inertial/slam	0.4641	0.4641	0	3639	OK
euroc_MH_01_easy_inertial_slam__odom_only	Inertial/odom	0.3952	0.7139	0.3187	3639	CHECK
euroc_MH_01_easy_inertial_slam__sba_async	Inertial/slam	0.1732	0.1635	0.0097	3639	OK
euroc_MH_01_easy_inertial_slam__slam_async	Inertial/async	0.0638	0.0590	0.0048	3639	OK
euroc_MH_01_easy_inertial_slam__slam_cpu	Inertial/slam	0.3952	0.7139	0.3187	3639	CHECK
euroc_MH_01_easy_inertial_slam__slam_planar	Inertial/slam	0.5008	0.5008	0	3639	OK
euroc_MH_01_easy_inertial_slam__slam_sync	Inertial/slam	0.6891	0.6891	0	3639	OK
euroc_MH_01_easy_stereo_slam__base	Multicamera/slam	0.0196	0.0196	0	3639	OK
euroc_MH_01_easy_stereo_slam__denoising	Multicamera/slam	0.0317	0.0317	0	3639	OK
euroc_MH_01_easy_stereo_slam__landmarks_export	Multicamera/slam	0.0196	0.0196	0	3639	OK
euroc_MH_01_easy_stereo_slam__multicam_precision	Multicamera/slam	0.0196	0.0196	0	3639	OK
euroc_MH_01_easy_stereo_slam__no_motion_model	Multicamera/slam	0.0677	0.0677	0	3639	OK
euroc_MH_01_easy_stereo_slam__odom_only	Multicamera/odom	0.0589	0.0592	0.0003	3639	OK
euroc_MH_01_easy_stereo_slam__sba_async	Multicamera/slam	0.0196	0.0177	0.0019	3639	OK
euroc_MH_01_easy_stereo_slam__slam_async	Multicamera/async	0.0272	0.0342	0.007	3639	OK
euroc_MH_01_easy_inertial_odom__base	Inertial/odom	0.7139	0.7139	0	3639	OK
euroc_MH_01_easy_mono_odom__base	Mono/odom	0.4009	0.2596	0.1413	3639	CHECK
euroc_MH_01_easy_stereo_odom__base	Multicamera/odom	0.0592	0.0592	0	3639	OK
euroc_MH_01_easy_stereo_slam__slam_cpu	Multicamera/slam	0.0593	0.0593	0	3639	OK
euroc_MH_01_easy_stereo_slam__slam_planar	Multicamera/slam	0.4320	0.4320	0	3639	OK
euroc_MH_01_easy_stereo_slam__slam_sync	Multicamera/slam	0.0196	0.0196	0	3639	OK
euroc_MH_01_easy_stereo_slam__unrectified	Multicamera/slam	0.0191	0.0196	0.0005	3639	OK
euroc_MH_02_easy_inertial_odom__base	Inertial/odom	0.5059	2.5693	2.0634	3000	CHECK
euroc_MH_02_easy_inertial_slam__base	Inertial/slam	2.5400	2.5400	0	3000	OK
euroc_MH_02_easy_mono_odom__base	Mono/odom	1.3336	1.1335	0.2001	3000	CHECK
euroc_MH_02_easy_stereo_odom__base	Multicamera/odom	0.0236	0.0236	0	3000	OK
euroc_MH_02_easy_stereo_slam__base	Multicamera/slam	0.0221	0.0221	0	3000	OK
euroc_MH_03_medium_inertial_odom__base	Inertial/odom	3.4099	3.4099	0	2631	OK
euroc_MH_03_medium_inertial_slam__base	Inertial/slam	1.9378	1.9378	0	2631	OK
euroc_MH_03_medium_mono_odom__base	Mono/odom	2.5810	3.2770	0.696	2631	CHECK
euroc_MH_03_medium_stereo_odom__base	Multicamera/odom	0.0713	0.0713	0	2631	OK
euroc_MH_03_medium_stereo_slam__base	Multicamera/slam	0.0315	0.0315	0	2631	OK
euroc_MH_04_difficult_inertial_odom__base	Inertial/odom	1.4159	1.4159	0	1976	OK
euroc_MH_04_difficult_inertial_slam__base	Inertial/slam	0.8633	0.8633	0	1976	OK
euroc_MH_04_difficult_mono_odom__base	Mono/odom	1.7793	6.7303	4.951	1976	CHECK
euroc_MH_04_difficult_stereo_odom__base	Multicamera/odom	0.0813	0.0813	0	1976	OK
euroc_MH_04_difficult_stereo_slam__base	Multicamera/slam	0.0853	0.0853	0	1976	OK
euroc_MH_05_difficult_inertial_odom__base	Inertial/odom	2.8451	2.8451	0	2222	OK
euroc_MH_05_difficult_inertial_slam__base	Inertial/slam	2.8452	2.8452	0	2222	OK
euroc_MH_05_difficult_mono_odom__base	Mono/odom	3.3655	3.4642	0.0987	2222	OK
euroc_MH_05_difficult_stereo_odom__base	Multicamera/odom	0.1410	0.1410	0	2222	OK
euroc_MH_05_difficult_stereo_slam__base	Multicamera/slam	0.0645	0.0645	0	2222	OK
euroc_V1_01_easy_inertial_odom__base	Inertial/odom	0.0571	0.0571	0	2872	OK
euroc_V1_01_easy_inertial_slam__base	Inertial/slam	0.0388	0.0388	0	2872	OK
euroc_V1_01_easy_mono_odom__base	Mono/odom	1.4765	1.6739	0.1974	2872	CHECK
euroc_V1_01_easy_stereo_odom__base	Multicamera/odom	0.0778	0.0778	0	2872	OK
euroc_V1_01_easy_stereo_slam__base	Multicamera/slam	0.0369	0.0369	0	2872	OK
euroc_V1_02_medium_inertial_odom__base	Inertial/odom	1.6222	1.6222	0	1671	OK
euroc_V1_02_medium_inertial_slam__base	Inertial/slam	0.6337	0.6337	0	1671	OK
euroc_V1_02_medium_mono_odom__base	Mono/odom	1.6340	1.6584	0.0244	1671	OK
euroc_V1_02_medium_stereo_odom__base	Multicamera/odom	0.1523	0.1523	0	1671	OK
euroc_V1_02_medium_stereo_slam__base	Multicamera/slam	0.0313	0.0313	0	1671	OK
