workload,substrate,time_ms,time_pct
tum_office_mx450,ISP/near-storage,365.6,96.1
tum_office_mx450,PiM-scatter,11.1,2.9
tum_office_mx450,GPU-keep,2.3,0.6
tum_office_mx450,PiM-near-bank,1.3,0.3
tum_office_mx450,GPU+layout-fix,0.1,0.0
tum_office_mx450,CPU/host,0.0,0.0
tum_office_rtx2000ada,PiM-scatter,270.7,99.0
tum_office_rtx2000ada,GPU-keep,1.6,0.6
tum_office_rtx2000ada,PiM-near-bank,0.7,0.3
tum_office_rtx2000ada,CPU/host,0.2,0.1
tum_office_rtx2000ada,GPU+layout-fix,0.0,0.0
kitti06_rtx2000ada,PiM-scatter,9.5,80.5
kitti06_rtx2000ada,PiM-near-bank,1.2,10.0
kitti06_rtx2000ada,GPU-keep,0.7,6.3
kitti06_rtx2000ada,CPU/host,0.3,2.6
kitti06_rtx2000ada,GPU+layout-fix,0.1,0.6
tumvi_corridor1_rtx2000ada,GPU-keep,215.9,99.5
tumvi_corridor1_rtx2000ada,CPU/host,0.6,0.3
tumvi_corridor1_rtx2000ada,PiM-near-bank,0.5,0.2
tumvi_corridor1_rtx2000ada,GPU+layout-fix,0.0,0.0
tumvi_corridor1_rtx2000ada,PiM-scatter,0.0,0.0
