app,kernel,class,mem_sol,comp_sol,dram_sol,lfmr,occ,log_sect,qsr,l2amp,s_core,s_mem,dsa
pb_2dconv,convolution2D_kernel,G1-bandwidth,89.4998,55.7944,89.4998,0.3585,78.0754,0.6685,0.0944,0.6572,1.2475,1.4046,31.4503
pb_3dconv,convolution3D_kernel,G1-bandwidth,59.9678,26.6969,59.9678,0.5586,78.8991,0.6662,0.1275,0.558,1.4102,1.1731,67.119
pb_2mm,mm2_kernel2,G3-l2-reuse,90.4241,65.1057,1.1205,0.0046,99.5054,0.602,0.0371,0.0043,1.9209,0.9984,90.0989
pb_2mm,mm2_kernel1,G3-l2-reuse,90.8585,65.293,0.9014,0.0054,99.349,0.6022,0.0382,0.0035,1.9089,0.9984,90.1022
pb_3mm,mm3_kernel3,G3-l2-reuse,83.6356,60.1303,0.8229,0.0049,99.0186,0.602,0.0407,0.0035,1.8474,0.9989,90.0729
pb_3mm,mm3_kernel1,G3-l2-reuse,83.9932,60.5798,0.828,0.0012,99.1178,0.6018,0.0405,0.0035,1.8414,1.002,89.8651
pb_3mm,mm3_kernel2,G3-l2-reuse,84.1142,60.6051,0.8289,0.0041,99.4575,0.6021,0.0402,0.0035,1.8563,1.0177,88.8147
pb_atax,atax_kernel1,G3-l2-reuse,92.944,16.2633,7.2171,0.2189,69.4063,1.2175,1.2056,0.2208,1.9967,1.0013,89.9271
pb_atax,atax_kernel2,G1-bandwidth,46.1268,46.1268,20.5593,0.4747,96.5586,0.6021,0.0177,0.4818,1.362,1.1052,73.7985
pb_bicg,bicg_kernel1,G4-latency,21.3901,6.0269,21.3901,0.4987,16.6373,0.6021,0.0001,0.5061,1.3407,1.1132,71.6212
pb_bicg,bicg_kernel2,G2-coalescing,52.9037,9.2016,32.7055,0.5035,16.6153,1.2175,0.0,0.5021,1.4997,1.0279,86.81
pb_corr,corr_kernel,G3-l2-reuse,37.5654,2.2067,0.405,0.007,15.591,1.4986,0.0,0.0067,1.9865,0.9998,90.0092
pb_corr,std_kernel,G4-latency,10.3872,2.969,10.3872,0.4985,16.6264,0.6021,0.0001,0.4985,1.6863,1.0004,89.97
pb_corr,mean_kernel,G4-latency,10.4919,2.0009,10.4919,0.4803,16.6294,0.6021,0.0,0.4984,1.3461,1.1137,71.8069
pb_corr,reduce_kernel,G1-bandwidth,85.2495,39.8264,85.2495,0.3261,76.7019,0.6027,0.0081,0.466,1.8205,1.0,89.9992
pb_covar,covar_kernel,G3-l2-reuse,37.5848,2.2073,0.4048,0.0079,15.5917,1.4987,0.0,0.0067,1.987,0.9999,90.0042
pb_covar,mean_kernel,G4-latency,10.5757,1.9859,10.5757,0.4962,16.6313,0.6021,0.0,0.5023,1.345,1.1131,71.8491
pb_covar,reduce_kernel,G1-bandwidth,82.6615,39.771,82.6615,0.4873,72.671,0.6024,0.0061,0.4865,1.7499,1.0102,89.2192
pb_fdtd_2d,fdtd_step3_kernel,G1-bandwidth,95.6746,20.2568,95.6746,0.6905,85.1158,0.6229,0.0065,0.8223,1.0049,1.3651,0.7678
pb_fdtd_2d,fdtd_step1_kernel,G1-bandwidth,95.9979,23.5031,95.9979,0.6414,79.6803,0.602,0.0015,0.7456,1.0462,1.3444,7.6412
pb_fdtd_2d,fdtd_step2_kernel,G1-bandwidth,96.142,23.5907,96.142,0.6183,80.9265,0.6363,0.0013,0.7222,1.0329,1.3599,5.2183
pb_gemm,gemm_kernel,G3-l2-reuse,84.3162,60.755,1.2436,0.0026,98.8772,0.6021,0.0413,0.0052,1.8358,0.9969,90.2154
pb_gesummv,gesummv_kernel,G2-coalescing,48.2194,10.9048,28.845,0.4893,16.3765,1.0911,0.0001,0.497,1.5814,0.9502,94.899
pb_mvt,mvt_kernel1,G3-l2-reuse,93.0061,16.2735,7.8054,0.2315,69.8159,1.2174,1.172,0.2334,1.9957,1.0008,89.9542
pb_mvt,mvt_kernel2,G1-bandwidth,45.8776,45.8776,22.733,0.5013,96.5639,0.6021,0.0177,0.5082,1.3675,1.1047,74.0964
pb_syr2k,syr2k_kernel,G3-l2-reuse,96.6562,14.3202,0.4482,0.0113,98.333,1.2174,4.0269,0.0099,1.9997,1.0001,89.9969
pb_syrk,syrk_kernel,G3-l2-reuse,96.3019,16.7325,0.5832,0.0092,98.2747,1.2173,2.1257,0.0085,2.0003,1.0,89.9977
rod_gaussian,Fan2,G3-l2-reuse,47.2917,16.0168,20.1751,0.1462,29.4476,0.7391,0.0001,0.1979,1.9735,1.0,89.9991
rod_gaussian,Fan1,G2-coalescing,11.6493,0.7173,10.7393,0.4833,26.6442,1.5016,0.0025,0.4863,1.7852,1.0,90.0011
rod_lud,lud_internal,G1-bandwidth,77.1887,77.1887,54.2196,0.331,83.1194,0.6021,0.6667,0.5996,1.689,1.0878,82.7377
rod_lud,lud_perimeter,G6-onchip,69.8183,44.9967,7.8702,0.4736,22.5347,0.3015,0.2176,0.4692,1.9424,1.0081,89.51
rod_lud,lud_diagonal,G7-dependency,1.027,0.3541,0.4647,0.3293,2.0833,0.301,0.0,0.2566,1.9382,1.0058,89.6451
rod_nw,needle_cuda_shared_1,G4-latency,11.0148,6.4924,6.0413,0.4866,3.2514,0.5408,0.0002,0.4922,1.627,1.0018,89.8346
rod_pathfinder,dynproc_kernel,G1-bandwidth,79.8499,61.5573,79.8499,0.8564,95.6966,0.6606,0.0482,0.8562,1.5729,1.21,69.8683
rod_particlefilter,find_index_kernel,G5-compute,9.487,75.8866,0.4004,0.4134,85.121,0.9031,0.0,0.4056,1.9962,0.9977,90.132
rod_particlefilter,likelihood_kernel,G5-compute,5.1591,84.8955,0.9827,0.0499,89.6816,1.4638,0.0019,0.0956,2.0,1.0,89.9987
rod_particlefilter,sum_kernel,G6-onchip,1.558,1.7394,0.2347,0.3465,35.28,0.0,0.0,0.2332,1.8371,1.0119,89.1871
rod_streamcluster,kernel_compute_cost,G1-bandwidth,94.108,17.5484,94.108,0.9734,48.2458,0.6914,0.0065,0.9733,1.8745,0.9998,90.0159
hb_accuracy,accuracy_kernel,G1-bandwidth,95.5232,14.2264,95.5232,0.9987,98.3879,0.5852,0.0001,1.0014,1.0553,1.3535,8.8848
hb_adam,adam,G5-compute,1.4844,62.2562,1.3478,0.4747,28.9698,0.6014,1.5075,0.5171,1.9943,1.0,90.0006
hb_adamw,fused_4bit_kernel,G1-bandwidth,71.9798,78.2258,61.8206,0.4793,94.8592,0.5798,0.0508,0.4966,1.9833,1.0001,89.9953
hb_addBiasQKV,FP8TrtAddQKVBiasKernel,G1-bandwidth,73.2334,49.1711,73.2334,0.504,56.8492,0.6435,0.0568,0.7334,1.5241,1.286,61.3814
hb_adv,advCubatureHex3D,G5-compute,14.4718,90.174,10.7391,0.3299,16.6134,0.8831,0.7996,0.3424,1.9891,1.0042,89.7545
hb_affine,affine,G2-coalescing,45.8524,41.5305,36.5685,0.3942,71.7696,1.3354,0.1641,0.3933,1.8594,1.0008,89.9445
hb_aidw,AIDW_Kernel,G3-l2-reuse,85.58,85.58,0.417,0.1118,87.784,0.6021,7.9314,0.1095,1.9948,1.0,89.9981
hb_aidw,AIDW_Kernel_Tiled,G5-compute,33.613,86.9156,0.4,0.0585,74.6046,0.6021,57.3909,0.0697,1.9998,1.0,90.0001
hb_aligned_types,testKernel,G1-bandwidth,45.5807,28.6827,45.5807,0.5058,75.2375,0.0,0.0,0.8961,1.1805,1.2773,33.0569
hb_all_pairs_distance,k1,G3-l2-reuse,62.5334,86.273,1.537,0.0067,90.8137,0.6021,0.0029,0.0063,1.9468,1.0001,89.9969
hb_amgmk,relax,G1-bandwidth,85.564,37.8561,85.564,0.4627,90.4987,1.3169,0.003,0.4583,1.9013,0.9992,90.0496
hb_aobench,render_kernel,G5-compute,1.3508,69.6635,0.5014,0.2377,51.958,0.602,4.091,0.3463,1.9953,1.0,90.0022
hb_aop,compute_partial_beta_kernel,G5-compute,15.2674,71.3696,3.5433,0.829,47.2653,0.8051,0.0714,0.8229,1.9857,0.9998,90.0109
hb_aop,generate_paths_kernel,G5-compute,20.4972,81.9519,20.4972,0.5148,71.5373,0.9031,0.0002,0.7902,1.9989,1.0003,89.9852
hb_aop,compute_final_beta_kernel,G6-onchip,1.0021,1.2793,0.8156,0.4474,8.3175,0.7959,0.0,0.4966,1.9722,1.0,89.9982
hb_aop,update_cashflow_kernel,G5-compute,27.3074,46.4125,27.3074,0.6496,67.2783,0.9031,0.0728,0.648,1.9253,1.0,89.9983
hb_asmooth,smoothingFilter,G3-l2-reuse,82.7953,55.3141,15.8396,0.0538,89.6466,0.6732,0.2963,0.1042,1.7393,1.0024,89.8149
hb_asmooth,outFilter,G1-bandwidth,56.3071,70.7152,35.5649,0.4181,85.6098,0.6899,0.0008,0.619,1.8304,1.0295,87.9625
hb_asmooth,normalizeFilter,G1-bandwidth,91.946,14.7374,91.946,0.6675,80.4784,0.6021,0.0001,0.9875,1.0794,1.331,13.4979
hb_assert,perfKernel2,G5-compute,0.3917,94.8902,0.3917,0.8823,92.2907,-2.0,36.2122,0.8798,,,
hb_assert,perfKernel,G5-compute,0.393,94.9496,0.393,0.9094,92.2848,-2.0,36.9804,0.9545,,,
hb_asta,PTTWAC_soa_asta,G7-dependency,2.6651,2.6651,2.0405,0.4345,4.1667,0.6021,0.0,0.6205,1.7231,1.0274,87.8308
hb_atan2,compute_f,G1-bandwidth,95.5507,38.6817,95.5507,0.67,85.9526,0.6021,0.002,0.9037,1.1379,1.3612,20.8895
