app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
pb_2dconv,convolution2D_kernel,G1-bandwidth,0.65,0.247,1.012,-0.259,13.8,nonphysical
pb_3dconv,convolution3D_kernel,G1-bandwidth,1.113,0.41,0.433,0.157,3.0,ok
pb_2mm,mm2_kernel2,G3-l2-reuse,8.52,0.921,-0.004,0.083,0.9,ok
pb_2mm,mm2_kernel1,G3-l2-reuse,8.556,0.909,-0.004,0.095,1.0,ok
pb_3mm,mm3_kernel3,G3-l2-reuse,1.129,0.847,-0.003,0.155,1.5,ok
pb_3mm,mm3_kernel1,G3-l2-reuse,1.131,0.841,0.005,0.154,2.8,ok
pb_3mm,mm3_kernel2,G3-l2-reuse,1.114,0.856,0.044,0.099,1.8,ok
pb_atax,atax_kernel1,G3-l2-reuse,4.341,0.997,0.003,0.0,0.2,ok
pb_atax,atax_kernel2,G1-bandwidth,1.529,0.362,0.263,0.375,1.6,ok
pb_bicg,bicg_kernel1,G4-latency,1.466,0.341,0.283,0.376,1.7,ok
pb_bicg,bicg_kernel2,G2-coalescing,1.018,0.5,0.07,0.431,10.1,holdout-fail
pb_corr,corr_kernel,G3-l2-reuse,1335.685,0.987,-0.0,0.014,0.1,ok
pb_corr,std_kernel,G4-latency,0.359,0.686,0.001,0.313,2.2,ok
pb_corr,mean_kernel,G4-latency,0.737,0.346,0.284,0.369,1.5,ok
pb_corr,reduce_kernel,G1-bandwidth,0.088,0.82,0.0,0.18,0.5,ok
pb_covar,covar_kernel,G3-l2-reuse,1336.107,0.987,-0.0,0.013,0.1,ok
pb_covar,mean_kernel,G4-latency,0.736,0.345,0.283,0.372,1.6,ok
pb_covar,reduce_kernel,G1-bandwidth,0.019,0.75,0.026,0.224,0.2,ok
pb_fdtd_2d,fdtd_step3_kernel,G1-bandwidth,166.945,0.005,0.913,0.082,0.6,ok
pb_fdtd_2d,fdtd_step1_kernel,G1-bandwidth,114.738,0.046,0.861,0.093,2.2,ok
pb_fdtd_2d,fdtd_step2_kernel,G1-bandwidth,120.248,0.033,0.9,0.067,1.9,ok
pb_gemm,gemm_kernel,G3-l2-reuse,1.13,0.836,-0.008,0.172,1.5,ok
pb_gesummv,gesummv_kernel,G2-coalescing,2.099,0.581,-0.125,0.543,0.7,nonphysical
pb_mvt,mvt_kernel1,G3-l2-reuse,4.341,0.996,0.002,0.002,0.1,ok
pb_mvt,mvt_kernel2,G1-bandwidth,1.527,0.367,0.262,0.371,1.9,ok
pb_syr2k,syr2k_kernel,G3-l2-reuse,65.785,1.0,0.0,0.0,0.0,ok
pb_syrk,syrk_kernel,G3-l2-reuse,33.8,1.0,0.0,-0.0,0.0,ok
rod_gaussian,Fan2,G3-l2-reuse,1048.907,0.974,0.0,0.026,0.1,ok
