archetype,config,cycles
g1_triad,baseline,65914
g1_triad,ndp_cons,52856
g1_triad,ndp_mod,52720
g2_gather,baseline,230484
g2_gather,ndp_cons,166909
g2_gather,ndp_mod,180371
g3_l2,baseline,39707
g3_l2,ndp_cons,42453
g3_l2,ndp_mod,42410
g4_chase,baseline,1644742
g4_chase,ndp_cons,1563826
g4_chase,ndp_mod,1561014
g5_fma,baseline,32707
g5_fma,ndp_cons,32111
g5_fma,ndp_mod,32111
g6_shared,baseline,124218
g6_shared,ndp_cons,124218
g6_shared,ndp_mod,124218
g7_dep,baseline,224080
g7_dep,ndp_cons,224076
g7_dep,ndp_mod,224076
g0_tiny,baseline,5777
g0_tiny,ndp_cons,5752
g0_tiny,ndp_mod,5751
