archetype,config,cycles
g1_triad,baseline,65914
g1_triad,ndp_cons,53162
g1_triad,ndp_mod,53515
g2_gather,baseline,230484
g2_gather,ndp_cons,169394
g2_gather,ndp_mod,169054
g3_l2,baseline,39707
g3_l2,ndp_cons,42648
g3_l2,ndp_mod,42852
g4_chase,baseline,1644742
g4_chase,ndp_cons,1570062
g4_chase,ndp_mod,1571904
g5_fma,baseline,32707
g5_fma,ndp_cons,32171
g5_fma,ndp_mod,32240
g6_shared,baseline,124218
g6_shared,ndp_cons,124218
g6_shared,ndp_mod,124218
g7_dep,baseline,224080
g7_dep,ndp_cons,224077
g7_dep,ndp_mod,224079
g0_tiny,baseline,5777
g0_tiny,ndp_cons,5755
g0_tiny,ndp_mod,5757
