app,kernel,class,k_bw,c_ratio,speedup
pb_3dconv,convolution3D_kernel,G1-bandwidth,2.0,0.25,0.492
pb_3dconv,convolution3D_kernel,G1-bandwidth,2.0,0.5,0.824
pb_3dconv,convolution3D_kernel,G1-bandwidth,2.0,0.75,1.063
pb_3dconv,convolution3D_kernel,G1-bandwidth,2.0,1.0,1.244
pb_3dconv,convolution3D_kernel,G1-bandwidth,4.0,0.25,0.519
pb_3dconv,convolution3D_kernel,G1-bandwidth,4.0,0.5,0.905
pb_3dconv,convolution3D_kernel,G1-bandwidth,4.0,0.75,1.202
pb_3dconv,convolution3D_kernel,G1-bandwidth,4.0,1.0,1.438
pb_3dconv,convolution3D_kernel,G1-bandwidth,8.0,0.25,0.534
pb_3dconv,convolution3D_kernel,G1-bandwidth,8.0,0.5,0.951
pb_3dconv,convolution3D_kernel,G1-bandwidth,8.0,0.75,1.285
pb_3dconv,convolution3D_kernel,G1-bandwidth,8.0,1.0,1.56
pb_3dconv,convolution3D_kernel,G1-bandwidth,16.0,0.25,0.542
pb_3dconv,convolution3D_kernel,G1-bandwidth,16.0,0.5,0.976
pb_3dconv,convolution3D_kernel,G1-bandwidth,16.0,0.75,1.332
pb_3dconv,convolution3D_kernel,G1-bandwidth,16.0,1.0,1.628
pb_2mm,mm2_kernel2,G3-l2-reuse,2.0,0.25,0.264
pb_2mm,mm2_kernel2,G3-l2-reuse,2.0,0.5,0.514
pb_2mm,mm2_kernel2,G3-l2-reuse,2.0,0.75,0.751
pb_2mm,mm2_kernel2,G3-l2-reuse,2.0,1.0,0.977
pb_2mm,mm2_kernel2,G3-l2-reuse,4.0,0.25,0.264
pb_2mm,mm2_kernel2,G3-l2-reuse,4.0,0.5,0.514
pb_2mm,mm2_kernel2,G3-l2-reuse,4.0,0.75,0.751
pb_2mm,mm2_kernel2,G3-l2-reuse,4.0,1.0,0.977
pb_2mm,mm2_kernel2,G3-l2-reuse,8.0,0.25,0.264
pb_2mm,mm2_kernel2,G3-l2-reuse,8.0,0.5,0.514
pb_2mm,mm2_kernel2,G3-l2-reuse,8.0,0.75,0.751
