app,kernel,class,confidence,stability,dram_sol,lfmr,mpki,sect,occ,ai,t_base_ms,share_pct,s_core,s_mem,screened,signature
pb_atax,atax_kernel2,G1-bandwidth,low,stable,20.6,0.475,108.57,4.0,96.6,3.922,1.529,26.04,1.362,1.105,False,mismatch
pb_mvt,mvt_kernel2,G1-bandwidth,low,stable,22.7,0.501,120.71,4.0,96.6,3.528,1.527,26.02,1.367,1.105,False,mismatch
rod_lud,lud_internal,G1-bandwidth,medium,borderline:G1-bandwidth↔G3-l2-reuse,54.2,0.331,110.35,4.0,83.1,4.398,89.358,91.66,1.689,1.088,False,mismatch
rod_streamcluster,kernel_compute_cost,G1-bandwidth,high,stable,94.1,0.973,639.43,4.9,48.2,0.719,44.183,100.0,1.874,1.0,False,mismatch
hb_adamw,fused_4bit_kernel,G1-bandwidth,high,stable,61.8,0.479,38.11,3.8,94.9,8.408,27.784,100.0,1.983,1.0,False,mismatch
hb_amgmk,relax,G1-bandwidth,high,stable,85.6,0.463,778.68,20.7,90.5,0.617,20.143,100.0,1.901,0.999,False,mismatch
hb_asmooth,outFilter,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse↔G5-compute,35.6,0.418,23.97,4.9,85.6,15.236,1066.938,22.92,1.83,1.03,False,mismatch
hb_atomicPerf,BlockRangeAtomicOnGlobalMem,G3-l2-reuse,medium,stable,0.6,0.02,12.11,0.0,83.9,32.104,437.478,3.64,1.207,0.999,False,mismatch
hb_atomicSystemWide,atomicKernel,G3-l2-reuse,low,stable,0.5,0.026,162.59,0.0,37.9,1.091,1126.345,100.0,1.285,1.01,False,mismatch
hb_attention,attention_kernel3,G1-bandwidth,high,stable,68.0,0.995,922.84,4.0,16.6,0.495,3658.914,31.74,1.317,1.128,False,mismatch
hb_bgmv,bgmv_shrink_kernel,G4-latency,medium,stable,5.6,0.512,352.42,2.0,2.6,0.805,4.828,100.0,1.71,1.001,False,mismatch
hb_bitpacking,bitPackConfigScanKernel,G7-dependency,medium,stable,1.5,0.326,360.38,1.0,16.3,1.032,2019.025,22.13,1.126,1.344,False,mismatch
hb_blas_gemm,cublasLt::splitKreduce_kernel,G1-bandwidth,low,stable,12.5,0.506,121.7,2.7,31.7,2.672,4.653,8.69,1.71,1.0,False,mismatch
hb_bm3d,hard_treshold_block,G1-bandwidth,high,stable,72.4,0.503,52.82,3.9,77.2,7.231,1292.804,14.59,1.982,1.104,False,mismatch
hb_boxfilter,col_kernel,G4-latency,medium,stable,4.5,0.501,87.73,4.0,4.2,4.586,5291.459,51.23,1.779,1.0,False,mismatch
hb_bwt,bitonic_sort_step,G1-bandwidth,high,stable,57.6,0.629,47.61,4.7,80.4,5.687,559.101,99.82,1.648,1.04,False,mismatch
hb_chemv,chemv_kernel1,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,0.5,0.373,37.52,1.3,2.1,0.775,669.697,90.56,1.767,1.0,False,mismatch
hb_chemv,chemv_kernel0,G4-latency,medium,borderline:G2-coalescing↔G4-latency,2.3,0.466,444.55,7.0,2.1,1.368,69.82,9.44,1.697,1.005,False,mismatch
hb_compute_score,compute,G1-bandwidth,low,stable,40.2,0.636,48.7,6.5,47.9,1.661,5392.717,99.17,1.809,1.019,False,mismatch
hb_crossEntropy,loss_bwd,G1-bandwidth,medium,stable,90.4,0.39,216.67,3.2,93.6,2.421,3636.756,100.0,1.827,1.056,False,mismatch
