app,kernel,class,confidence,stability,dram_sol,lfmr,mpki,sect,occ,ai,t_base_ms,share_pct,s_core,s_mem,screened,signature
pb_2dconv,convolution2D_kernel,G1-bandwidth,low,stable,89.5,0.358,171.07,4.7,78.1,2.31,0.65,100.0,1.247,1.405,False,match
pb_3dconv,convolution3D_kernel,G1-bandwidth,high,stable,60.0,0.559,217.24,4.6,78.9,2.359,1.113,100.0,1.41,1.173,False,match
pb_2mm,mm2_kernel2,G3-l2-reuse,low,stable,1.1,0.005,3.96,4.0,99.5,101.495,8.52,49.9,1.921,0.998,False,match
pb_2mm,mm2_kernel1,G3-l2-reuse,low,stable,0.9,0.005,2.7,4.0,99.3,189.749,8.556,50.1,1.909,0.998,False,match
pb_3mm,mm3_kernel3,G3-l2-reuse,low,stable,0.8,0.005,3.12,4.0,99.0,127.494,1.129,33.46,1.847,0.999,False,match
pb_3mm,mm3_kernel1,G3-l2-reuse,low,stable,0.8,0.001,3.12,4.0,99.1,127.634,1.131,33.52,1.841,1.002,False,match
pb_3mm,mm3_kernel2,G3-l2-reuse,low,stable,0.8,0.004,3.12,4.0,99.5,127.564,1.114,33.02,1.856,1.018,False,match
pb_atax,atax_kernel1,G3-l2-reuse,low,stable,7.2,0.219,108.08,16.5,69.4,3.939,4.341,73.96,1.997,1.001,False,match
pb_atax,atax_kernel2,G1-bandwidth,low,stable,20.6,0.475,108.57,4.0,96.6,3.922,1.529,26.04,1.362,1.105,False,mismatch
pb_bicg,bicg_kernel1,G4-latency,low,stable,21.4,0.499,864.41,4.0,16.6,0.493,1.466,59.02,1.341,1.113,False,match
pb_bicg,bicg_kernel2,G2-coalescing,low,stable,32.7,0.503,865.71,16.5,16.6,0.492,1.018,40.98,1.5,1.028,False,match
pb_corr,corr_kernel,G3-l2-reuse,low,stable,0.4,0.007,44.91,31.5,15.6,7.3,1335.685,99.91,1.987,1.0,False,match
pb_corr,std_kernel,G4-latency,low,stable,10.4,0.499,590.81,4.0,16.6,0.751,0.359,0.03,1.686,1.0,True,
pb_corr,mean_kernel,G4-latency,low,stable,10.5,0.48,838.96,4.0,16.6,0.377,0.737,0.06,1.346,1.114,True,
pb_corr,reduce_kernel,G1-bandwidth,low,stable,85.2,0.326,166.38,4.0,76.7,2.088,0.088,0.01,1.82,1.0,True,
pb_covar,covar_kernel,G3-l2-reuse,low,stable,0.4,0.008,44.87,31.5,15.6,7.306,1336.107,99.94,1.987,1.0,False,match
pb_covar,mean_kernel,G4-latency,low,stable,10.6,0.496,852.09,4.0,16.6,0.372,0.736,0.06,1.345,1.113,True,
